anatomy	rel	partof
ZFA:0000035	BFO:0000050	ZFA:0000107
ZFA:0000086	BFO:0000050	ZFA:0001094
ZFA:0000092	BFO:0000050	ZFA:0001094
ZFA:0000126	BFO:0000050	ZFA:0001189
ZFA:0000155	BFO:0000050	ZFA:0001094
ZFA:0000155	BFO:0000050	ZFA:0001115
ZFA:0000184	BFO:0000050	ZFA:0001161
ZFA:0000403	BFO:0000050	ZFA:0000303
ZFA:0000598	BFO:0000050	ZFA:0000242
ZFA:0001057	BFO:0000050	ZFA:0001115
ZFA:0001064	BFO:0000050	ZFA:0000029
ZFA:0001079	BFO:0000050	ZFA:0001094
ZFA:0001086	BFO:0000050	ZFA:0000155
ZFA:0001086	BFO:0000050	ZFA:0001115
ZFA:0001089	BFO:0000050	ZFA:0005145
ZFA:0001270	BFO:0000050	ZFA:0001269
ZFA:0001285	BFO:0000050	ZFA:0001115
ZFA:0001288	BFO:0000050	ZFA:0000529
ZFA:0001400	BFO:0000050	ZFA:0001611
ZFA:0001455	BFO:0000050	ZFA:0001161
ZFA:0001462	BFO:0000050	ZFA:0001115
ZFA:0001466	BFO:0000050	ZFA:0000152
ZFA:0001617	BFO:0000050	ZFA:0000217
ZFA:0001691	BFO:0000050	ZFA:0000100
ZFA:0001691	BFO:0000050	ZFA:0000188
ZFA:0005125	BFO:0000050	ZFA:0005123
ZFA:0005169	BFO:0000050	ZFA:0000036
ZFA:0005326	BFO:0000050	ZFA:0000368
ZFA:0005490	BFO:0000050	ZFA:0000028
ZFA:0005754	BFO:0000050	ZFA:0001260
ZFA:0005775	BFO:0000050	ZFA:0000112
ZFA:0009000	BFO:0000050	ZFA:0001094
ZFA:0009007	BFO:0000050	ZFA:0000598
ZFA:0009044	BFO:0000050	ZFA:0000007
ZFA:0009071	BFO:0000050	ZFA:0000100
ZFA:0009091	BFO:0000050	ZFA:0000107
ZFA:0009091	BFO:0000050	ZFA:0000368
ZFA:0009091	BFO:0000050	ZFA:0001094
ZFA:0009091	BFO:0000050	ZFA:0001114
ZFA:0009111	BFO:0000050	ZFA:0000123
ZFA:0009115	BFO:0000050	ZFA:0005277
ZFA:0009135	BFO:0000050	ZFA:0000142
ZFA:0009139	BFO:0000050	ZFA:0000017
ZFA:0009139	BFO:0000050	ZFA:0001094
ZFA:0009141	BFO:0000050	ZFA:0001094
ZFA:0009149	BFO:0000050	ZFA:0000029
ZFA:0009149	BFO:0000050	ZFA:0001032
ZFA:0009154	BFO:0000050	ZFA:0000143
ZFA:0009159	BFO:0000050	ZFA:0000368
ZFA:0009165	BFO:0000050	ZFA:0001094
ZFA:0009198	BFO:0000050	ZFA:0001094
ZFA:0009199	BFO:0000050	ZFA:0000107
ZFA:0009199	BFO:0000050	ZFA:0000368
ZFA:0009199	BFO:0000050	ZFA:0001114
ZFA:0009205	BFO:0000050	ZFA:0001197
ZFA:0009216	BFO:0000050	ZFA:0000012
ZFA:0009256	BFO:0000050	ZFA:0000007
ZFA:0009256	BFO:0000050	ZFA:0005023
ZFA:0009262	BFO:0000050	ZFA:0000143
ZFA:0009262	BFO:0000050	ZFA:0001464
ZFA:0009275	BFO:0000050	ZFA:0000143
ZFA:0009275	BFO:0000050	ZFA:0001464
ZFA:0009280	BFO:0000050	ZFA:0000046
ZFA:0009310	BFO:0000050	ZFA:0000024
ZFA:0009310	BFO:0000050	ZFA:0000107
ZFA:0009310	BFO:0000050	ZFA:0000152
ZFA:0009316	BFO:0000050	ZFA:0000114
ZFA:0009316	BFO:0000050	ZFA:0001319
ZFA:0009323	BFO:0000050	ZFA:0000007
ZFA:0009327	BFO:0000050	ZFA:0001094
ZFA:0009350	BFO:0000050	ZFA:0001078
