iri	id	current
ZP:0020021	0-0-ZFA:0000042-PATO:0001671-0-0-0	
ZP:0001844	0-0-GO:0042384-PATO:0002051-0-0-0	
ZP:0011111	0-0-GO:0021592-PATO:0000460-0-0-0	
ZP:0008578	0-0-GO:0016337-PATO:0002302-0-0-0	
ZP:0011094	0-0-GO:0021654-PATO:0000460-0-0-0	
ZP:0011082	0-0-ZFA:0001108-PATO:0000460-0-0-0	
ZP:0011080	0-0-ZFA:0000690-PATO:0000460-0-0-0	
ZP:0011076	0-0-ZFA:0000137-PATO:0000460-0-0-0	
ZP:0011060	0-0-ZFA:0000110-PATO:0000460-0-0-0	
ZP:0016566	0-0-GO:0007049-PATO:0001558-0-0-GO:0007067	
ZP:0003672	0-0-GO:0001525-PATO:0000460-0-0-0	
ZP:0015044	0-0-GO:0021867-PATO:0000057-0-0-0	
ZP:0013302	0-0-GO:0015992-PATO:0001236-0-0-0	
ZP:0014871	0-0-GO:0000046-PATO:0001507-0-0-0	
ZP:0014821	0-0-ZFA:0009310-PATO:0002102-0-0-0	
ZP:0004489	0-0-ZFA:0001285-PATO:0000460-0-0-0	
ZP:0004479	0-0-GO:0043206-PATO:0002302-0-0-0	
ZP:0009900	0-0-ZFA:0001075-PATO:0000610-0-0-0	
ZP:0004391	0-0-GO:0016337-PATO:0001507-0-0-0	
ZP:0014578	0-0-GO:0000046-PATO:0002302-0-0-0	
ZP:0014494	0-0-GO:0097369-PATO:0002304-0-0-0	
ZP:0014493	0-0-GO:0071436-PATO:0002304-0-0-0	
ZP:0009792	0-0-ZFA:0001311-PATO:0000599-0-0-0	
ZP:0002983	0-0-GO:0042384-PATO:0002302-0-0-0	
ZP:0004080	0-0-GO:0042384-PATO:0001507-0-0-0	
ZP:0002892	0-0-GO:0043206-PATO:0001507-0-0-0	
ZP:0014250	0-0-GO:0007067-PATO:0000911-0-0-0	
