affected_entity_1_rel	affected_entity_1_sub	affected_entity_1_super	affected_entity_2_rel	affected_entity_2_sub	affected_entity_2_super	id	iri	pato_id	pattern
		ZFA:0000778				0-0-ZFA:0000778-PATO:0001997-0-0-0	ZP:0000025	PATO:0001997	https://raw.githubusercontent.com/obophenotype/zebrafish-phenotype-ontology/master/src/patterns/dosdp-patterns/abnormalQualityOfThing.yaml
		ZFA:0001115				0-0-ZFA:0001115-PATO:0000574-0-0-0	ZP:0000026	PATO:0000574	https://raw.githubusercontent.com/obophenotype/zebrafish-phenotype-ontology/master/src/patterns/dosdp-patterns/abnormalQualityOfThing.yaml
		ZFA:0001117				0-0-ZFA:0001117-PATO:0000574-0-0-0	ZP:0000027	PATO:0000574	https://raw.githubusercontent.com/obophenotype/zebrafish-phenotype-ontology/master/src/patterns/dosdp-patterns/abnormalQualityOfThing.yaml
		GO:0007492				0-0-GO:0007492-PATO:0001507-0-0-0	ZP:0000028	PATO:0001507	https://raw.githubusercontent.com/obophenotype/zebrafish-phenotype-ontology/master/src/patterns/dosdp-patterns/abnormalQualityOfThing.yaml
		GO:0031290				0-0-GO:0031290-PATO:0001507-0-0-0	ZP:0000029	PATO:0001507	https://raw.githubusercontent.com/obophenotype/zebrafish-phenotype-ontology/master/src/patterns/dosdp-patterns/abnormalQualityOfThing.yaml
		GO:0048741				0-0-GO:0048741-PATO:0001507-0-0-0	ZP:0000030	PATO:0001507	https://raw.githubusercontent.com/obophenotype/zebrafish-phenotype-ontology/master/src/patterns/dosdp-patterns/abnormalQualityOfThing.yaml
		GO:0048798				0-0-GO:0048798-PATO:0000297-0-0-0	ZP:0000031	PATO:0000297	https://raw.githubusercontent.com/obophenotype/zebrafish-phenotype-ontology/master/src/patterns/dosdp-patterns/abnormalQualityOfThing.yaml
		ZFA:0000008				0-0-ZFA:0000008-PATO:0000001-0-0-0	ZP:0000032	PATO:0000001	https://raw.githubusercontent.com/obophenotype/zebrafish-phenotype-ontology/master/src/patterns/dosdp-patterns/abnormalQualityOfThing.yaml
		ZFA:0000017				0-0-ZFA:0000017-PATO:0000051-0-0-0	ZP:0000033	PATO:0000051	https://raw.githubusercontent.com/obophenotype/zebrafish-phenotype-ontology/master/src/patterns/dosdp-patterns/abnormalQualityOfThing.yaml
		ZFA:0000029				0-0-ZFA:0000029-PATO:0000001-0-0-0	ZP:0000034	PATO:0000001	https://raw.githubusercontent.com/obophenotype/zebrafish-phenotype-ontology/master/src/patterns/dosdp-patterns/abnormalQualityOfThing.yaml
		ZFA:0000042				0-0-ZFA:0000042-PATO:0000646-0-0-0	ZP:0000035	PATO:0000646	https://raw.githubusercontent.com/obophenotype/zebrafish-phenotype-ontology/master/src/patterns/dosdp-patterns/abnormalQualityOfThing.yaml
		ZFA:0000045				0-0-ZFA:0000045-PATO:0000001-0-0-0	ZP:0000036	PATO:0000001	https://raw.githubusercontent.com/obophenotype/zebrafish-phenotype-ontology/master/src/patterns/dosdp-patterns/abnormalQualityOfThing.yaml
		ZFA:0000046	BFO:0000050	BSPO:0000084	ZFA:0000143	0-0-ZFA:0000046-PATO:0002000-BSPO:0000084-BFO:0000050-ZFA:0000143	ZP:0000037	PATO:0002000	https://raw.githubusercontent.com/obophenotype/zebrafish-phenotype-ontology/master/src/patterns/dosdp-patterns/abnormalQualityOfThingTowardsPartOfThing.yaml
		ZFA:0000054				0-0-ZFA:0000054-PATO:0001450-0-0-0	ZP:0000038	PATO:0001450	https://raw.githubusercontent.com/obophenotype/zebrafish-phenotype-ontology/master/src/patterns/dosdp-patterns/abnormalQualityOfThing.yaml
		ZFA:0000076				0-0-ZFA:0000076-PATO:0001241-0-0-0	ZP:0000039	PATO:0001241	https://raw.githubusercontent.com/obophenotype/zebrafish-phenotype-ontology/master/src/patterns/dosdp-patterns/abnormalQualityOfThing.yaml
		ZFA:0000084				0-0-ZFA:0000084-PATO:0000001-0-0-0	ZP:0000040	PATO:0000001	https://raw.githubusercontent.com/obophenotype/zebrafish-phenotype-ontology/master/src/patterns/dosdp-patterns/abnormalQualityOfThing.yaml
		ZFA:0000095				0-0-ZFA:0000095-PATO:0000001-0-0-0	ZP:0000041	PATO:0000001	https://raw.githubusercontent.com/obophenotype/zebrafish-phenotype-ontology/master/src/patterns/dosdp-patterns/abnormalQualityOfThing.yaml
		ZFA:0000100				0-0-ZFA:0000100-PATO:0000646-0-0-0	ZP:0000042	PATO:0000646	https://raw.githubusercontent.com/obophenotype/zebrafish-phenotype-ontology/master/src/patterns/dosdp-patterns/abnormalQualityOfThing.yaml
		ZFA:0000107				0-0-ZFA:0000107-PATO:0000587-0-0-0	ZP:0000043	PATO:0000587	https://raw.githubusercontent.com/obophenotype/zebrafish-phenotype-ontology/master/src/patterns/dosdp-patterns/abnormalQualityOfThing.yaml
		ZFA:0000114				0-0-ZFA:0000114-PATO:0000001-0-0-0	ZP:0000044	PATO:0000001	https://raw.githubusercontent.com/obophenotype/zebrafish-phenotype-ontology/master/src/patterns/dosdp-patterns/abnormalQualityOfThing.yaml
		ZFA:0000123				0-0-ZFA:0000123-PATO:0001921-0-0-0	ZP:0000045	PATO:0001921	https://raw.githubusercontent.com/obophenotype/zebrafish-phenotype-ontology/master/src/patterns/dosdp-patterns/abnormalQualityOfThing.yaml
		ZFA:0000141				0-0-ZFA:0000141-PATO:0001483-0-0-0	ZP:0000046	PATO:0001483	https://raw.githubusercontent.com/obophenotype/zebrafish-phenotype-ontology/master/src/patterns/dosdp-patterns/abnormalQualityOfThing.yaml
		ZFA:0000143				0-0-ZFA:0000143-PATO:0000937-0-0-0	ZP:0000047	PATO:0000937	https://raw.githubusercontent.com/obophenotype/zebrafish-phenotype-ontology/master/src/patterns/dosdp-patterns/abnormalQualityOfThing.yaml
