iri	id
ZP:0014168	ZFA:0009316-BFO:0000050-ZFA:0005061-PATO:0000070-0-0-0
ZP:0014168	ZFA:0009316-BFO:0000050-ZFA:0005061-PATO:0002050-0-0-0
ZP:0014157	GO:0005833-BFO:0000050-ZFA:0009256-PATO:0000070-0-0-0
ZP:0014157	GO:0005833-BFO:0000050-ZFA:0009256-PATO:0002050-0-0-0
ZP:0012996	0-0-ZFA:0009255-PATO:0002050-0-0-0
ZP:0012996	0-0-ZFA:0009255-PATO:0000070-0-0-0
ZP:0012961	0-0-ZFA:0009249-PATO:0000070-0-0-0
ZP:0012961	0-0-ZFA:0009249-PATO:0002050-0-0-0
ZP:0012958	0-0-ZFA:0009150-PATO:0002050-0-0-0
ZP:0012958	0-0-ZFA:0009150-PATO:0000070-0-0-0
ZP:0012934	0-0-ZFA:0009198-PATO:0002050-0-0-0
ZP:0012934	0-0-ZFA:0009198-PATO:0000070-0-0-0
ZP:0017040	0-0-ZFA:0009275-PATO:0002050-0-0-0
ZP:0017040	0-0-ZFA:0009275-PATO:0000070-0-0-0
ZP:0012897	0-0-ZFA:0000075-PATO:0001555-0-0-ZFA:0009244
ZP:0012897	0-0-ZFA:0000075-PATO:0001905-0-0-ZFA:0009244
ZP:0012860	ZFA:0009301-BFO:0000050-ZFA:0000101-PATO:0000070-0-0-0
ZP:0012860	ZFA:0009301-BFO:0000050-ZFA:0000101-PATO:0002050-0-0-0
ZP:0012844	0-0-ZFA:0009116-PATO:0000070-0-0-0
ZP:0012844	0-0-ZFA:0009116-PATO:0002050-0-0-0
ZP:0012843	0-0-ZFA:0001086-PATO:0000070-0-0-0
ZP:0012843	0-0-ZFA:0001086-PATO:0002050-0-0-0
ZP:0012835	0-0-ZFA:0009052-PATO:0002050-0-0-0
ZP:0012835	0-0-ZFA:0009052-PATO:0000070-0-0-0
ZP:0012833	0-0-ZFA:0009104-PATO:0002050-0-0-0
ZP:0012833	0-0-ZFA:0009104-PATO:0000070-0-0-0
ZP:0012832	0-0-ZFA:0009102-PATO:0000070-0-0-0
ZP:0012832	0-0-ZFA:0009102-PATO:0002050-0-0-0
ZP:0012823	ZFA:0009316-BFO:0000050-ZFA:0000009-PATO:0002050-0-0-0
ZP:0012823	ZFA:0009316-BFO:0000050-ZFA:0000009-PATO:0000070-0-0-0
ZP:0012821	0-0-ZFA:0009316-PATO:0002050-0-0-0
ZP:0012821	0-0-ZFA:0009316-PATO:0000070-0-0-0
ZP:0017185	0-0-ZFA:0000940-PATO:0002050-0-0-0
ZP:0017185	0-0-ZFA:0000940-PATO:0000070-0-0-0
ZP:0012793	0-0-ZFA:0009256-PATO:0000070-0-0-0
ZP:0012793	0-0-ZFA:0009256-PATO:0002050-0-0-0
ZP:0012781	0-0-ZFA:0009141-PATO:0002050-0-0-0
ZP:0012781	0-0-ZFA:0009141-PATO:0000070-0-0-0
ZP:0012777	ZFA:0009244-BFO:0000050-ZFA:0000075-PATO:0000070-0-0-0
ZP:0012777	ZFA:0009244-BFO:0000050-ZFA:0000075-PATO:0002050-0-0-0
ZP:0017423	0-0-GO:0007601-PATO:0000001-0-0-0
ZP:0017423	0-0-GO:0007601-PATO:0000462-0-0-0
ZP:0012826	0-0-ZFA:0000243-PATO:0002050-0-0-0
ZP:0012826	0-0-ZFA:0000243-PATO:0000070-0-0-0
ZP:0014065	0-0-ZFA:0005775-PATO:0000070-0-0-0
ZP:0014065	0-0-ZFA:0005775-PATO:0002050-0-0-0
ZP:0002825	ZFA:0009361-BFO:0000050-ZFA:0000418-PATO:0002050-0-0-0
ZP:0015624	ZFA:0009000-BFO:0000050-ZFA:0001285-PATO:0000070-0-0-0
ZP:0015624	ZFA:0009000-BFO:0000050-ZFA:0001285-PATO:0002050-0-0-0
ZP:0015552	0-0-ZFA:0000778-PATO:0000070-0-0-0
ZP:0015552	0-0-ZFA:0000778-PATO:0002050-0-0-0
ZP:0015526	ZFA:0009354-BFO:0000050-ZFA:0000033-PATO:0000070-0-0-0
ZP:0015526	ZFA:0009354-BFO:0000050-ZFA:0000033-PATO:0002050-0-0-0
ZP:0015468	0-0-ZFA:0009367-PATO:0002050-0-0-0
ZP:0015468	0-0-ZFA:0009367-PATO:0000070-0-0-0
ZP:0015206	ZFA:0009014-BFO:0000050-ZFA:0005028-PATO:0000070-0-0-0
ZP:0015206	ZFA:0009014-BFO:0000050-ZFA:0005028-PATO:0002050-0-0-0
ZP:0022604	0-0-ZFA:0001360-PATO:0001555-ZFA:0009248-BFO:0000050-ZFA:0001360
ZP:0022604	0-0-ZFA:0001360-PATO:0001905-ZFA:0009248-BFO:0000050-ZFA:0001360
ZP:0013842	0-0-ZFA:0009204-PATO:0002050-0-0-0
ZP:0013842	0-0-ZFA:0009204-PATO:0000070-0-0-0
ZP:0013774	0-0-ZFA:0009044-PATO:0002050-0-0-0
ZP:0013774	0-0-ZFA:0009044-PATO:0000070-0-0-0
ZP:0021385	0-0-ZFA:0001157-PATO:0001905-ZFA:0009000-BFO:0000050-ZFA:0001157
ZP:0021385	0-0-ZFA:0001157-PATO:0001555-ZFA:0009000-BFO:0000050-ZFA:0001157
ZP:0013729	0-0-ZFA:0009318-PATO:0000070-0-0-0
ZP:0013729	0-0-ZFA:0009318-PATO:0002050-0-0-0
ZP:0013690	GO:0031514-BFO:0000050-ZFA:0000001-PATO:0002050-0-0-0
ZP:0013690	GO:0031514-BFO:0000050-ZFA:0000001-PATO:0000070-0-0-0
ZP:0013601	ZFA:0009084-BFO:0000050-ZFA:0001400-PATO:0000070-0-0-0
ZP:0013601	ZFA:0009084-BFO:0000050-ZFA:0001400-PATO:0002050-0-0-0
ZP:0008915	0-0-ZFA:0001617-PATO:0002050-0-0-0
