affected_entity_1_sub	affected_entity_1_super	affected_entity_2_super	defined_class	pato_id
BSPO:0001001	ZFA:0001094	ZFA:0009150	ZP:0004889	PATO:0002002
BSPO:0000071	ZFA:0001115	ZFA:0009091	ZP:0004890	PATO:0002001
GO:0043005	ZFA:0009052	ZFA:0000075	ZP:0005073	PATO:0002434
GO:0030424	ZFA:0009310	ZFA:0000107	ZP:0005413	PATO:0002168
BSPO:0000075	ZFA:0000152	ZFA:0009154	ZP:0005807	PATO:0002000
BSPO:0000075	ZFA:0000152	ZFA:0009154	ZP:0005808	PATO:0002001
BSPO:0000075	ZFA:0000152	ZFA:0009262	ZP:0005809	PATO:0002000
ZFA:0009043	ZFA:0001094	ZFA:0009044	ZP:0005854	PATO:0001999
ZFA:0000007	ZFA:0005314	ZFA:0009256	ZP:0005859	PATO:0001999
GO:0030424	ZFA:0009319	ZFA:0000024	ZP:0006012	PATO:0002261
GO:0030425	ZFA:0009319	ZFA:0001464	ZP:0006015	PATO:0002261
ZFA:0000126	ZFA:0001189	ZFA:0000126	ZP:0006784	PATO:0000642
ZFA:0009000	ZFA:0005124	ZFA:0001338	ZP:0006805	PATO:0001453
GO:0005819	ZFA:0001289	ZFA:0000144	ZP:0006872	PATO:0000133
BSPO:0000035	ZFA:0005037	ZFA:0009256	ZP:0007000	PATO:0002270
ZFA:0001463	ZFA:0001115	ZFA:0009091	ZP:0007388	PATO:0002001
ZFA:0001463	ZFA:0001117	ZFA:0009091	ZP:0007390	PATO:0002001
BSPO:0000071	ZFA:0000155	ZFA:0009116	ZP:0007524	PATO:0001999
GO:0030016	ZFA:0001056	ZFA:0000610	ZP:0007731	PATO:0001453
BSPO:0000688	ZFA:0000250	ZFA:0005621	ZP:0007957	PATO:0002001
BSPO:0000688	ZFA:0000250	ZFA:0009031	ZP:0007958	PATO:0002001
BSPO:0000689	ZFA:0000250	ZFA:0009031	ZP:0007960	PATO:0002001
BSPO:0000083	ZFA:0000155	ZFA:0009116	ZP:0008309	PATO:0001999
BSPO:0000027	ZFA:0001194	ZFA:0009003	ZP:0008431	PATO:0002000
BSPO:0000083	ZFA:0001194	ZFA:0009003	ZP:0008432	PATO:0002001
GO:0042470	ZFA:0000144	ZFA:0000144	ZP:0008705	PATO:0002168
GO:0042470	ZFA:0000144	ZFA:0000152	ZP:0008708	PATO:0002168
GO:0042470	ZFA:0000144	ZFA:0005229	ZP:0008709	PATO:0002168
ZFA:0009303	ZFA:0001285	ZFA:0000014	ZP:0008759	PATO:0001453
BSPO:0000079	ZFA:0000075	ZFA:0009169	ZP:0009366	PATO:0002002
ZFA:0009000	ZFA:0001094	ZFA:0000084	ZP:0009483	PATO:0001738
ZFA:0005249	ZFA:0000118	ZFA:0009036	ZP:0009510	PATO:0002001
BSPO:0000071	ZFA:0000279	ZFA:0000003	ZP:0009619	PATO:0002001
ZFA:0009127	ZFA:0001464	ZFA:0001289	ZP:0009658	PATO:0002168
BSPO:0000071	ZFA:0000279	ZFA:0000003	ZP:0010031	PATO:0002000
BSPO:0000037	ZFA:0001157	ZFA:0009000	ZP:0010075	PATO:0002001
GO:0030424	ZFA:0005181	ZFA:0000671	ZP:0010107	PATO:0001645
GO:0030424	ZFA:0009125	ZFA:0005677	ZP:0010108	PATO:0001667
GO:0030424	ZFA:0009125	ZFA:0005683	ZP:0010109	PATO:0001667
GO:0005912	ZFA:0001071	ZFA:0000064	ZP:0010138	PATO:0001453
ZFA:0001083	ZFA:0000505	ZFA:0009248	ZP:0010184	PATO:0002002
BSPO:0000079	ZFA:0000075	ZFA:0009076	ZP:0010211	PATO:0002001
BSPO:0000084	ZFA:0000075	ZFA:0009076	ZP:0010212	PATO:0002002
ZFA:0001681	ZFA:0000075	ZFA:0009076	ZP:0010213	PATO:0002002
ZFA:0001682	ZFA:0000075	ZFA:0009076	ZP:0010214	PATO:0002001
BSPO:0000092	ZFA:0000114	ZFA:0000114	ZP:0010362	PATO:0001453
GO:0030425	ZFA:0009310	ZFA:0000119	ZP:0010564	PATO:0002168
GO:0030425	ZFA:0009310	ZFA:0001329	ZP:0010565	PATO:0002168
GO:0030425	ZFA:0009310	ZFA:0001330	ZP:0010566	PATO:0002168
GO:0043005	ZFA:0009310	ZFA:0000445	ZP:0010568	PATO:0002168
BSPO:0000071	ZFA:0001115	ZFA:0005110	ZP:0010849	PATO:0002000
BSPO:0000071	ZFA:0000075	ZFA:0009244	ZP:0011073	PATO:0002001
BSPO:0000072	ZFA:0001115	ZFA:0009244	ZP:0011084	PATO:0002000
BSPO:0000071	ZFA:0000075	ZFA:0000778	ZP:0011143	PATO:0002001
BSPO:0000071	ZFA:0000075	ZFA:0009052	ZP:0011144	PATO:0002001
GO:0030424	ZFA:0000175	ZFA:0009135	ZP:0011159	PATO:0002001
GO:0030424	ZFA:0009052	ZFA:0009135	ZP:0011163	PATO:0002002
BSPO:0000085	ZFA:0001115	ZFA:0009198	ZP:0011374	PATO:0002001
ZFA:0001119	ZFA:0001115	ZFA:0009091	ZP:0011375	PATO:0002001
ZFA:0001119	ZFA:0001115	ZFA:0009198	ZP:0011376	PATO:0002000
ZFA:0009000	ZFA:0000016	ZFA:0000016	ZP:0011489	PATO:0000133
ZFA:0009000	ZFA:0000135	ZFA:0000135	ZP:0011492	PATO:0000133
GO:0030141	ZFA:0001109	ZFA:0001109	ZP:0011563	PATO:0002269
ZFA:0001119	ZFA:0001115	ZFA:0009199	ZP:0011696	PATO:0002000
ZFA:0009076	ZFA:0000075	ZFA:0005266	ZP:0011855	PATO:0001233
ZFA:0009076	ZFA:0000075	ZFA:0005266	ZP:0011856	PATO:0002233
BSPO:0000056	ZFA:0000032	ZFA:0009301	ZP:0011941	PATO:0002002
GO:0005739	ZFA:0009115	ZFA:0009115	ZP:0012012	PATO:0002269
