affected_entity_1_super	defined_class	pato_id	quality
ZFA:0000155	ZP:0000153	PATO:0000600	
ZFA:0000255	ZP:0000154	PATO:0000051	
ZFA:0000948	ZP:0000158	PATO:0000573	
ZFA:0001094	ZP:0000159	PATO:0000052	
ZFA:0001094	ZP:0000160	PATO:0000620	
ZFA:0001094	ZP:0000161	PATO:0001891	
ZFA:0001115	ZP:0000163	PATO:0001485	
ZFA:0001115	ZP:0000164	PATO:0001787	
ZFA:0001117	ZP:0000165	PATO:0001483	
ZFA:0001135	ZP:0000168	PATO:0000051	
ZFA:0001161	ZP:0000169	PATO:0000628	
ZFA:0009044	ZP:0000172	PATO:0001997	
ZFA:0009325	ZP:0000173	PATO:0000462	
GO:0021534	ZP:0000174	PATO:0002052	
GO:0021592	ZP:0000175	PATO:0001507	
GO:0030902	ZP:0000177	PATO:0001507	
GO:0034653	ZP:0000178	PATO:0000911	
ZFA:0000050	ZP:0000181	PATO:0000636	
ZFA:0000101	ZP:0000182	PATO:0001241	
ZFA:0000109	ZP:0000183	PATO:0001241	
ZFA:0000110	ZP:0000184	PATO:0000141	
ZFA:0000137	ZP:0000185	PATO:0000646	
ZFA:0000144	ZP:0000186	PATO:0000628	
ZFA:0000152	ZP:0000187	PATO:0000646	
ZFA:0000152	ZP:0000188	PATO:0001241	
ZFA:0001202	ZP:0000189	PATO:0001241	
ZFA:0001284	ZP:0000190	PATO:0000609	
GO:0003143	ZP:0000191	PATO:0002302	
GO:0003160	ZP:0000192	PATO:0002302	
GO:0003260	ZP:0000193	PATO:0000502	
GO:0055008	ZP:0000194	PATO:0002302	
GO:0060975	ZP:0000195	PATO:0002302	
ZFA:0000059	ZP:0000196	PATO:0000600	
ZFA:0001319	ZP:0000197	PATO:0000628	
ZFA:0001320	ZP:0000198	PATO:0000628	
GO:0001964	ZP:0000200	PATO:0001507	
GO:0007634	ZP:0000201	PATO:0001507	
GO:0008345	ZP:0000202	PATO:0000078	
GO:0009646	ZP:0000203	PATO:0001507	
GO:0010996	ZP:0000204	PATO:0001507	
GO:0016199	ZP:0000205	PATO:0001507	
GO:0050881	ZP:0000206	PATO:0000001	
GO:0050885	ZP:0000207	PATO:0000001	
GO:0050885	ZP:0000208	PATO:0001507	
GO:0050957	ZP:0000209	PATO:0001507	
GO:0071679	ZP:0000210	PATO:0001507	
ZFA:0000059	ZP:0000211	PATO:0000599	
ZFA:0001094	ZP:0000212	PATO:0000169	
ZFA:0001094	ZP:0000213	PATO:0002076	
ZFA:0001117	ZP:0000214	PATO:0001906	
ZFA:0001692	ZP:0000215	PATO:0000937	
GO:0001889	ZP:0000217	PATO:0001507	
ZFA:0000084	ZP:0000218	PATO:0000327	
ZFA:0000124	ZP:0000219	PATO:0001473	
ZFA:0001117	ZP:0000220	PATO:0000051	
GO:0031101	ZP:0000221	PATO:0001507	
GO:0001947	ZP:0000222	PATO:0001507	
GO:0007507	ZP:0000223	PATO:0001507	
ZFA:0001094	ZP:0000224	PATO:0001591	
ZFA:0001114	ZP:0000225	PATO:0001958	
GO:0043931	ZP:0000226	PATO:0000502	
GO:0070509	ZP:0000227	PATO:0002302	
GO:0006171	ZP:0000228	PATO:0000911	
GO:0006183	ZP:0000229	PATO:0000911	
GO:0060047	ZP:0000230	PATO:0000911	
ZFA:0000114	ZP:0000231	PATO:0000025	
ZFA:0000114	ZP:0000232	PATO:0001581	
ZFA:0000114	ZP:0000233	PATO:0001624	
ZFA:0001216	ZP:0000234	PATO:0000645	
ZFA:0001227	ZP:0000235	PATO:0000645	
GO:0045214	ZP:0000236	PATO:0001507	
GO:0055002	ZP:0000237	PATO:0001507	
GO:0070650	ZP:0000238	PATO:0001507	
ZFA:0001094	ZP:0000239	PATO:0000300	
ZFA:0001094	ZP:0000240	PATO:0000617	
GO:0021520	ZP:0000254	PATO:0001507	
GO:0021530	ZP:0000255	PATO:0001507	
GO:0001946	ZP:0000262	PATO:0000297	
ZFA:0005110	ZP:0000263	PATO:0000645	
ZFA:0009395	ZP:0000264	PATO:0000645	
GO:0001946	ZP:0000265	PATO:0001507	
ZFA:0000250	ZP:0000266	PATO:0000406	
