affected_entity_1_super	affected_entity_2_sub	affected_entity_2_super	defined_class	pato_id
ZFA:0000075	ZFA:0009169	ZFA:0000075	ZP:0022209	PATO:0001905
ZFA:0005748	ZFA:0009000	ZFA:0001260	ZP:0022258	PATO:0002002
ZFA:0000001	ZFA:0009034	ZFA:0000001	ZP:0022279	PATO:0001905
ZFA:0000940	ZFA:0009000	ZFA:0000940	ZP:0022300	PATO:0001905
ZFA:0000075	GO:0045202	ZFA:0005147	ZP:0022333	PATO:0002001
ZFA:0009149	GO:0032281	ZFA:0009149	ZP:0022412	PATO:0001905
ZFA:0009115	GO:0005901	ZFA:0009115	ZP:0022525	PATO:0001905
ZFA:0001558	ZFA:0005243	ZFA:0001558	ZP:0022660	PATO:0001905
ZFA:0000588	ZFA:0009011	ZFA:0000588	ZP:0022766	PATO:0002002
ZFA:0009398	GO:0030027	ZFA:0009398	ZP:0022777	PATO:0002001
ZFA:0009154	GO:0001917	ZFA:0009154	ZP:0022860	PATO:0001999
ZFA:0000014	ZFA:0009181	ZFA:0000014	ZP:0022870	PATO:0001905
ZFA:0000014	ZFA:0009181	ZFA:0000014	ZP:0022871	PATO:0002001
ZFA:0009275	GO:0001750	ZFA:0009275	ZP:0022898	PATO:0001905
ZFA:0001429	ZFA:0009361	ZFA:0001429	ZP:0022939	PATO:0001905
ZFA:0001429	ZFA:0009361	ZFA:0001429	ZP:0022940	PATO:0002001
ZFA:0001557	GO:0036053	ZFA:0005285	ZP:0022960	PATO:0001905
ZFA:0005604	GO:0030175	ZFA:0009065	ZP:0023064	PATO:0001905
ZFA:0005604	GO:0030175	ZFA:0009065	ZP:0023069	PATO:0002002
ZFA:0009256	BSPO:0000005	ZFA:0000084	ZP:0023102	PATO:0002269
ZFA:0001157	GO:0030175	ZFA:0001157	ZP:0100329	PATO:0002002
ZFA:0000029	ZFA:0005866	ZFA:0000029	ZP:0100359	PATO:0001905
ZFA:0001094	GO:0071753	ZFA:0000007	ZP:0100382	PATO:0001999
ZFA:0001157	ZFA:0009000	ZFA:0001157	ZP:0100441	PATO:0001905
ZFA:0000069	ZFA:0009052	ZFA:0000206	ZP:0100539	PATO:0002001
ZFA:0001205	BSPO:0000013	ZFA:0001094	ZP:0100544	PATO:0002434
ZFA:0001400	BSPO:0000013	ZFA:0001094	ZP:0100547	PATO:0002434
ZFA:0000180	ZFA:0009141	ZFA:0005257	ZP:0100778	PATO:0002270
ZFA:0000180	ZFA:0009326	ZFA:0005257	ZP:0100779	PATO:0002270
ZFA:0000101	ZFA:0009301	ZFA:0000101	ZP:0101080	PATO:0001555
ZFA:0000101	ZFA:0009301	ZFA:0000101	ZP:0101314	PATO:0002001
ZFA:0000075	ZFA:0009076	ZFA:0000075	ZP:0101315	PATO:0001905
ZFA:0009141	BSPO:0000070	ZFA:0005124	ZP:0101540	PATO:0002269
ZFA:0001360	ZFA:0009248	ZFA:0001360	ZP:0101575	PATO:0001905
ZFA:0001558	BSPO:0000013	ZFA:0001094	ZP:0101855	PATO:0000133
ZFA:0001466	GO:0097381	ZFA:0009127	ZP:0101874	PATO:0002001
ZFA:0001466	GO:0005930	ZFA:0009127	ZP:0101875	PATO:0002002
ZFA:0000206	GO:0043005	ZFA:0009052	ZP:0101898	PATO:0002002
ZFA:0000143	GO:0031982	ZFA:0000143	ZP:0102007	PATO:0002002
ZFA:0000029	BSPO:0000088	ZFA:0001064	ZP:0102073	PATO:0002000
ZFA:0005744	BSPO:0000075	ZFA:0000135	ZP:0102118	PATO:0002168
ZFA:0009077	BSPO:0000070	ZFA:0000938	ZP:0102197	PATO:0002271
ZFA:0001135	GO:0005929	ZFA:0001135	ZP:0102253	PATO:0001905
ZFA:0001135	GO:0005929	ZFA:0001135	ZP:0102260	PATO:0002001
ZFA:0000940	GO:0042995	ZFA:0000243	ZP:0102393	PATO:0002002
ZFA:0009365	GO:0042995	ZFA:0009365	ZP:0102394	PATO:0002002
ZFA:0009367	GO:0098681	ZFA:0009367	ZP:0102487	PATO:0002002
ZFA:0000144	GO:0016234	ZFA:0000144	ZP:0102929	PATO:0002002
ZFA:0001315	ZFA:0001317	ZFA:0001315	ZP:0103050	PATO:0002000
ZFA:0009262	GO:0001750	ZFA:0009262	ZP:0103147	PATO:0001905
ZFA:0009275	GO:0001750	ZFA:0009275	ZP:0103148	PATO:0002000
ZFA:0000075	ZFA:0009010	ZFA:0000075	ZP:0103187	PATO:0002001
ZFA:0000435	BSPO:0000065	ZFA:0000445	ZP:0103347	PATO:0002173
ZFA:0000143	GO:0001750	ZFA:0009154	ZP:0103429	PATO:0002001
ZFA:0000445	GO:0043005	ZFA:0000445	ZP:0103473	PATO:0001905
ZFA:0000445	GO:0043005	ZFA:0000445	ZP:0103477	PATO:0002001
ZFA:0009327	ZFA:0005147	ZFA:0009011	ZP:0103523	PATO:0002271
ZFA:0009199	GO:0043698	ZFA:0009199	ZP:0103607	PATO:0002000
ZFA:0000150	GO:0005776	ZFA:0000150	ZP:0103764	PATO:0002001
ZFA:0009256	BSPO:0000070	ZFA:0000180	ZP:0103802	PATO:0002269
ZFA:0009111	GO:0005776	ZFA:0009111	ZP:0103955	PATO:0002002
ZFA:0000944	GO:0030424	ZFA:0000944	ZP:0104211	PATO:0001905
