affected_entity_1_sub	affected_entity_1_super	defined_class	pato_id
ZFA:0001462	ZFA:0000073	ZP:0000010	PATO:0001332
ZFA:0001462	ZFA:0000733	ZP:0000014	PATO:0001332
ZFA:0001462	ZFA:0000858	ZP:0000015	PATO:0001332
ZFA:0001462	ZFA:0000982	ZP:0000016	PATO:0001332
ZFA:0001462	ZFA:0000983	ZP:0000017	PATO:0001332
ZFA:0009052	ZFA:0000075	ZP:0000024	PATO:0001997
ZFA:0005198	ZFA:0001032	ZP:0000053	PATO:0000628
ZFA:0009276	ZFA:0000402	ZP:0000079	PATO:0001997
ZFA:0009301	ZFA:0000402	ZP:0000080	PATO:0001997
GO:0030424	ZFA:0009125	ZP:0000089	PATO:0000574
GO:0030424	ZFA:0009125	ZP:0000090	PATO:0000937
ZFA:0009139	ZFA:0000017	ZP:0000101	PATO:0001997
BSPO:0000013	ZFA:0001094	ZP:0000116	PATO:0001469
BSPO:0000013	ZFA:0000255	ZP:0000156	PATO:0000574
ZFA:0009248	ZFA:0007035	ZP:0000170	PATO:0000470
ZFA:0009248	ZFA:0007035	ZP:0000171	PATO:0001923
ZFA:0009000	ZFA:0001320	ZP:0000199	PATO:0000646
GO:0030424	ZFA:0009149	ZP:0000216	PATO:0000628
ZFA:0005145	ZFA:0001115	ZP:0000241	PATO:0001372
GO:0030017	ZFA:0005277	ZP:0000242	PATO:0000937
GO:0030018	ZFA:0005277	ZP:0000243	PATO:0000937
GO:0031430	ZFA:0005277	ZP:0000244	PATO:0001630
GO:0005862	ZFA:0009117	ZP:0000245	PATO:0000462
GO:0005884	ZFA:0009117	ZP:0000246	PATO:0000937
GO:0005884	ZFA:0009117	ZP:0000247	PATO:0001566
GO:0005884	ZFA:0009117	ZP:0000248	PATO:0001567
GO:0030016	ZFA:0009117	ZP:0000249	PATO:0000639
GO:0030016	ZFA:0009117	ZP:0000250	PATO:0000937
GO:0030016	ZFA:0009117	ZP:0000251	PATO:0000967
GO:0031941	ZFA:0009117	ZP:0000252	PATO:0001997
GO:0032982	ZFA:0009117	ZP:0000253	PATO:0001630
ZFA:0009169	ZFA:0000075	ZP:0000256	PATO:0000462
ZFA:0009169	ZFA:0000075	ZP:0000257	PATO:0001997
ZFA:0009247	ZFA:0000075	ZP:0000258	PATO:0001997
ZFA:0009292	ZFA:0000075	ZP:0000259	PATO:0000937
ZFA:0009292	ZFA:0000075	ZP:0000260	PATO:0001997
ZFA:0009301	ZFA:0000101	ZP:0000261	PATO:0000470
ZFA:0001486	ZFA:0000029	ZP:0000284	PATO:0000937
ZFA:0009248	ZFA:0000029	ZP:0000285	PATO:0000470
ZFA:0009306	ZFA:0000029	ZP:0000286	PATO:0001629
ZFA:0005314	ZFA:0000079	ZP:0000287	PATO:0001482
ZFA:0005314	ZFA:0000079	ZP:0000288	PATO:0001571
ZFA:0005314	ZFA:0000079	ZP:0000289	PATO:0001714
ZFA:0005250	ZFA:0000445	ZP:0000292	PATO:0001957
ZFA:0005314	ZFA:0000445	ZP:0000293	PATO:0001957
ZFA:0009292	ZFA:0000505	ZP:0000295	PATO:0002102
ZFA:0009248	ZFA:0001314	ZP:0000296	PATO:0000470
ZFA:0009000	ZFA:0001094	ZP:0000314	PATO:0000638
ZFA:0009000	ZFA:0001094	ZP:0000315	PATO:0001422
GO:0015030	ZFA:0009000	ZP:0000316	PATO:0001997
GO:0030532	ZFA:0009000	ZP:0000317	PATO:0001630
ZFA:0009091	ZFA:0001115	ZP:0000325	PATO:0001997
ZFA:0009091	ZFA:0001117	ZP:0000326	PATO:0001997
ZFA:0009127	ZFA:0000019	ZP:0000345	PATO:0000470
ZFA:0009248	ZFA:0000019	ZP:0000346	PATO:0000470
BSPO:0000029	ZFA:0000060	ZP:0000352	PATO:0000587
ZFA:0009316	ZFA:0000114	ZP:0000361	PATO:0000638
ZFA:0009316	ZFA:0000114	ZP:0000362	PATO:0001997
ZFA:0009053	ZFA:0000162	ZP:0000365	PATO:0001921
ZFA:0009034	ZFA:0000706	ZP:0000369	PATO:0000470
ZFA:0009034	ZFA:0001076	ZP:0000370	PATO:0000470
BSPO:0000013	ZFA:0001094	ZP:0000371	PATO:0000638
BSPO:0000013	ZFA:0001094	ZP:0000372	PATO:0001617
ZFA:0009242	ZFA:0001366	ZP:0000382	PATO:0000051
ZFA:0009327	ZFA:0000094	ZP:0000393	PATO:0001997
GO:0005634	ZFA:0000035	ZP:0000423	PATO:0000470
ZFA:0009000	ZFA:0000035	ZP:0000424	PATO:0001802
GO:0005884	ZFA:0001056	ZP:0000433	PATO:0000573
GO:0005884	ZFA:0001056	ZP:0000434	PATO:0000937
GO:0005927	ZFA:0001056	ZP:0000435	PATO:0000051
GO:0032982	ZFA:0001056	ZP:0000436	PATO:0000937
ZFA:0005490	ZFA:0000028	ZP:0000488	PATO:0001997
ZFA:0009248	ZFA:0001155	ZP:0000499	PATO:0001997
ZFA:0009118	ZFA:0001338	ZP:0000501	PATO:0000051
ZFA:0009248	ZFA:0001338	ZP:0000502	PATO:0001997
GO:0005634	ZFA:0009256	ZP:0000517	PATO:0000051
ZFA:0009019	ZFA:0000013	ZP:0000519	PATO:0000470
ZFA:0009248	ZFA:0000013	ZP:0000520	PATO:0002102
GO:0030017	ZFA:0000114	ZP:0000533	PATO:0000586
ZFA:0009316	ZFA:0000114	ZP:0000534	PATO:0000586
ZFA:0009316	ZFA:0001374	ZP:0000538	PATO:0000470
ZFA:0009316	ZFA:0001374	ZP:0000539	PATO:0001790
ZFA:0009316	ZFA:0005061	ZP:0000541	PATO:0000470
ZFA:0009316	ZFA:0005061	ZP:0000542	PATO:0001788
ZFA:0009324	ZFA:0000094	ZP:0000548	PATO:0000462
ZFA:0009324	ZFA:0000094	ZP:0000549	PATO:0001997
ZFA:0009354	ZFA:0000094	ZP:0000550	PATO:0000462
ZFA:0009014	ZFA:0005028	ZP:0000552	PATO:0001997
ZFA:0009324	ZFA:0005028	ZP:0000553	PATO:0000462
ZFA:0009324	ZFA:0005028	ZP:0000554	PATO:0001997
ZFA:0009327	ZFA:0005028	ZP:0000555	PATO:0001997
ZFA:0009354	ZFA:0005028	ZP:0000556	PATO:0000462
BSPO:0000013	ZFA:0001094	ZP:0000586	PATO:0000574
ZFA:0009000	ZFA:0001094	ZP:0000587	PATO:0002334
GO:0048770	ZFA:0009091	ZP:0000599	PATO:0001997
GO:0048770	ZFA:0009198	ZP:0000600	PATO:0001997
GO:0048770	ZFA:0009199	ZP:0000601	PATO:0001997
BSPO:0000084	ZFA:0000012	ZP:0000610	PATO:0000587
BSPO:0000084	ZFA:0000022	ZP:0000614	PATO:0000645
BSPO:0000071	ZFA:0000110	ZP:0000623	PATO:0000462
GO:0005634	ZFA:0000135	ZP:0000629	PATO:0001997
ZFA:0009000	ZFA:0000135	ZP:0000630	PATO:0000051
GO:0030424	ZFA:0000543	ZP:0000633	PATO:0000937
ZFA:0009000	ZFA:0001218	ZP:0000641	PATO:0001997
ZFA:0009000	ZFA:0001218	ZP:0000642	PATO:0002100
GO:0030424	ZFA:0009247	ZP:0000649	PATO:0001997
GO:0005634	ZFA:0000155	ZP:0000662	PATO:0000638
ZFA:0009084	ZFA:0001400	ZP:0000666	PATO:0000051
ZFA:0009084	ZFA:0001400	ZP:0000667	PATO:0000587
GO:0030017	ZFA:0005145	ZP:0000670	PATO:0000613
GO:0030017	ZFA:0005145	ZP:0000671	PATO:0000937
ZFA:0009036	ZFA:0000186	ZP:0000722	PATO:0001997
ZFA:0009354	ZFA:0001078	ZP:0000727	PATO:0001997
ZFA:0009354	ZFA:0001115	ZP:0000729	PATO:0001997
GO:0030017	ZFA:0005061	ZP:0000747	PATO:0000937
GO:0030017	ZFA:0009316	ZP:0000755	PATO:0000937
GO:0030018	ZFA:0009316	ZP:0000756	PATO:0000052
GO:0005634	ZFA:0000088	ZP:0000774	PATO:0000470
GO:0043296	ZFA:0001357	ZP:0000814	PATO:0001608
BSPO:0000083	ZFA:0001405	ZP:0000815	PATO:0000462
ZFA:0009316	ZFA:0000471	ZP:0000826	PATO:0000470
ZFA:0009234	ZFA:0001721	ZP:0000827	PATO:0000470
GO:0044303	ZFA:0000200	ZP:0000836	PATO:0001923
ZFA:0009009	ZFA:0000200	ZP:0000837	PATO:0001920
ZFA:0009248	ZFA:0000200	ZP:0000838	PATO:0000299
ZFA:0009248	ZFA:0000200	ZP:0000839	PATO:0001920
GO:0001518	ZFA:0009120	ZP:0000840	PATO:0001624
GO:0030424	ZFA:0009247	ZP:0000846	PATO:0000629
GO:0005634	ZFA:0000088	ZP:0000850	PATO:0001629
GO:0005874	ZFA:0000088	ZP:0000851	PATO:0000330
GO:0005634	ZFA:0009256	ZP:0000867	PATO:0000141
BSPO:0000013	ZFA:0001094	ZP:0000869	PATO:0002364
ZFA:0005155	ZFA:0000250	ZP:0000887	PATO:0000591
ZFA:0005155	ZFA:0000250	ZP:0000888	PATO:0001602
ZFA:0001596	ZFA:0001227	ZP:0000911	PATO:0000462
ZFA:0000393	ZFA:0001612	ZP:0000933	PATO:0001241
ZFA:0001596	ZFA:0001612	ZP:0000934	PATO:0001241
ZFA:0009127	ZFA:0000143	ZP:0000944	PATO:0000462
GO:0042470	ZFA:0009091	ZP:0000947	PATO:0000060
GO:0042470	ZFA:0009091	ZP:0000948	PATO:0001630
GO:0005833	ZFA:0009256	ZP:0000953	PATO:0000025
GO:0030424	ZFA:0000295	ZP:0000970	PATO:0002285
GO:0044303	ZFA:0000295	ZP:0000971	PATO:0000573
GO:0030424	ZFA:0000556	ZP:0000974	PATO:0000051
GO:0043005	ZFA:0007001	ZP:0000977	PATO:0000628
GO:0043005	ZFA:0007001	ZP:0000978	PATO:0000629
GO:0030424	ZFA:0009301	ZP:0000980	PATO:0001924
GO:0030424	ZFA:0009310	ZP:0000984	PATO:0000628
GO:0030424	ZFA:0009310	ZP:0000985	PATO:0000629
ZFA:0009367	ZFA:0000386	ZP:0000994	PATO:0001997
ZFA:0009366	ZFA:0000030	ZP:0001005	PATO:0000330
ZFA:0009366	ZFA:0000700	ZP:0001007	PATO:0000051
ZFA:0009100	ZFA:0001260	ZP:0001027	PATO:0000470
GO:0044303	ZFA:0009052	ZP:0001038	PATO:0000470
ZFA:0009277	ZFA:0000140	ZP:0001081	PATO:0001997
ZFA:0009301	ZFA:0000101	ZP:0001115	PATO:0001997
ZFA:0009301	ZFA:0000109	ZP:0001116	PATO:0001997
ZFA:0009361	ZFA:0000109	ZP:0001117	PATO:0001997
GO:0005929	ZFA:0000001	ZP:0001124	PATO:0000574
ZFA:0009242	ZFA:0001064	ZP:0001141	PATO:0000619
ZFA:0009242	ZFA:0001064	ZP:0001142	PATO:0000937
ZFA:0009248	ZFA:0001692	ZP:0001150	PATO:0000462
GO:0042995	ZFA:0009292	ZP:0001155	PATO:0000330
GO:0042995	ZFA:0009292	ZP:0001156	PATO:0001846
ZFA:0009047	ZFA:0000519	ZP:0001170	PATO:0001997
ZFA:0009047	ZFA:0001066	ZP:0001172	PATO:0001997
ZFA:0001463	ZFA:0001115	ZP:0001174	PATO:0000937
ZFA:0009091	ZFA:0001136	ZP:0001175	PATO:0001997
ZFA:0009198	ZFA:0001136	ZP:0001176	PATO:0000462
GO:0030016	ZFA:0001086	ZP:0001184	PATO:0000574
GO:0030016	ZFA:0001086	ZP:0001185	PATO:0000592
GO:0030016	ZFA:0009116	ZP:0001187	PATO:0000574
GO:0030016	ZFA:0009116	ZP:0001188	PATO:0000592
GO:0030016	ZFA:0009117	ZP:0001191	PATO:0000574
ZFA:0009186	ZFA:0000032	ZP:0001209	PATO:0001997
ZFA:0009301	ZFA:0000032	ZP:0001210	PATO:0001997
ZFA:0009186	ZFA:0000470	ZP:0001212	PATO:0001997
ZFA:0009186	ZFA:0000633	ZP:0001213	PATO:0001997
