affected_entity_1_sub	affected_entity_1_super	defined_class	pato_id
GO:0008219	ZFA:0000029	ZP:0000283	PATO:0000912
GO:0035282	ZFA:0001117	ZP:0000307	PATO:0000297
GO:0006403	ZFA:0000093	ZP:0000775	PATO:0000502
GO:0022008	ZFA:0000152	ZP:0001166	PATO:0002302
GO:0030182	ZFA:0000152	ZP:0001167	PATO:0000502
GO:0030182	ZFA:0000152	ZP:0001168	PATO:0002302
GO:0008219	ZFA:0000152	ZP:0001275	PATO:0002051
GO:0006915	ZFA:0001094	ZP:0001337	PATO:0002051
GO:0009790	ZFA:0001094	ZP:0001338	PATO:0000297
GO:0010467	ZFA:0001094	ZP:0001339	PATO:0000057
GO:0044770	ZFA:0001094	ZP:0001340	PATO:0002052
GO:0097296	ZFA:0001094	ZP:0001341	PATO:0002051
GO:0048870	ZFA:0009288	ZP:0001595	PATO:0000304
GO:0060855	ZFA:0005034	ZP:0001733	PATO:0000297
GO:0008283	ZFA:0001078	ZP:0002300	PATO:0002052
GO:0072332	ZFA:0000152	ZP:0002342	PATO:0002051
GO:0000087	ZFA:0000152	ZP:0002399	PATO:0000498
GO:0000236	ZFA:0000152	ZP:0002400	PATO:0000297
GO:0000236	ZFA:0000152	ZP:0002401	PATO:0000498
GO:0000279	ZFA:0000152	ZP:0002402	PATO:0000498
GO:0006915	ZFA:0000152	ZP:0002403	PATO:0002051
GO:0051301	ZFA:0000152	ZP:0002407	PATO:0000498
GO:0097475	ZFA:0000029	ZP:0002533	PATO:0001236
GO:0042391	ZFA:0009091	ZP:0002863	PATO:0001507
GO:0006974	ZFA:0000008	ZP:0003046	PATO:0002051
GO:0014032	ZFA:0001194	ZP:0003482	PATO:0001507
GO:0001569	ZFA:0001061	ZP:0003677	PATO:0002302
GO:0008219	ZFA:0001114	ZP:0003783	PATO:0002304
GO:0048668	ZFA:0009243	ZP:0003825	PATO:0002302
GO:0016477	ZFA:0009076	ZP:0003928	PATO:0002051
GO:0016477	ZFA:0009076	ZP:0003929	PATO:0002304
GO:0070374	ZFA:0009248	ZP:0003930	PATO:0002051
GO:0007389	ZFA:0001064	ZP:0004017	PATO:0000057
