defined_class	anatomical_entity
ZP:0107389	http://purl.obolibrary.org/obo/ZFA_0005018
ZP:0107390	http://purl.obolibrary.org/obo/ZFA_0001228
ZP:0107391	http://purl.obolibrary.org/obo/ZFA_0001310
ZP:0107392	http://purl.obolibrary.org/obo/ZFA_0001138
ZP:0107393	http://purl.obolibrary.org/obo/ZFA_0005819
ZP:0107394	http://purl.obolibrary.org/obo/ZFA_0000628
ZP:0107395	http://purl.obolibrary.org/obo/ZFA_0001551
ZP:0107396	http://purl.obolibrary.org/obo/ZFA_0001554
ZP:0107397	http://purl.obolibrary.org/obo/ZFA_0001658
ZP:0107398	http://purl.obolibrary.org/obo/ZFA_0000545
ZP:0107399	http://purl.obolibrary.org/obo/ZFA_0005575
ZP:0107400	http://purl.obolibrary.org/obo/ZFA_0007033
ZP:0107401	http://purl.obolibrary.org/obo/ZFA_0001644
ZP:0107402	http://purl.obolibrary.org/obo/ZFA_0001460
ZP:0107403	http://purl.obolibrary.org/obo/ZFA_0005523
ZP:0107404	http://purl.obolibrary.org/obo/ZFA_0001585
ZP:0107405	http://purl.obolibrary.org/obo/ZFA_0005225
ZP:0107406	http://purl.obolibrary.org/obo/ZFA_0007006
ZP:0107407	http://purl.obolibrary.org/obo/ZFA_0000505
ZP:0107408	http://purl.obolibrary.org/obo/ZFA_0005908
ZP:0107409	http://purl.obolibrary.org/obo/ZFA_0001105
ZP:0107410	http://purl.obolibrary.org/obo/ZFA_0000292
ZP:0107411	http://purl.obolibrary.org/obo/ZFA_0009349
ZP:0107412	http://purl.obolibrary.org/obo/ZFA_0009355
ZP:0107413	http://purl.obolibrary.org/obo/ZFA_0001404
ZP:0107414	http://purl.obolibrary.org/obo/ZFA_0005437
ZP:0107415	http://purl.obolibrary.org/obo/ZFA_0005436
ZP:0107416	http://purl.obolibrary.org/obo/ZFA_0005581
ZP:0107417	http://purl.obolibrary.org/obo/ZFA_0001018
ZP:0107418	http://purl.obolibrary.org/obo/ZFA_0000392
ZP:0107419	http://purl.obolibrary.org/obo/ZFA_0005453
ZP:0107420	http://purl.obolibrary.org/obo/ZFA_0005386
ZP:0107421	http://purl.obolibrary.org/obo/ZFA_0001674
ZP:0107422	http://purl.obolibrary.org/obo/ZFA_0009285
ZP:0107423	http://purl.obolibrary.org/obo/ZFA_0005364
ZP:0107424	http://purl.obolibrary.org/obo/ZFA_0001419
ZP:0107425	http://purl.obolibrary.org/obo/ZFA_0000401
ZP:0107426	http://purl.obolibrary.org/obo/ZFA_0005114
ZP:0107427	http://purl.obolibrary.org/obo/ZFA_0000034
ZP:0107428	http://purl.obolibrary.org/obo/ZFA_0000977
ZP:0107429	http://purl.obolibrary.org/obo/ZFA_0000802
ZP:0107430	http://purl.obolibrary.org/obo/ZFA_0000587
ZP:0107431	http://purl.obolibrary.org/obo/ZFA_0001378
ZP:0107432	http://purl.obolibrary.org/obo/ZFA_0005513
ZP:0107433	http://purl.obolibrary.org/obo/ZFA_0000669
ZP:0107434	http://purl.obolibrary.org/obo/ZFA_0001346
ZP:0107435	http://purl.obolibrary.org/obo/ZFA_0001261
ZP:0107436	http://purl.obolibrary.org/obo/ZFA_0001439
ZP:0107437	http://purl.obolibrary.org/obo/ZFA_0009081
ZP:0107438	http://purl.obolibrary.org/obo/ZFA_0009004
ZP:0107439	http://purl.obolibrary.org/obo/ZFA_0007053
ZP:0107440	http://purl.obolibrary.org/obo/ZFA_0000521
ZP:0107441	http://purl.obolibrary.org/obo/ZFA_0000235
ZP:0107442	http://purl.obolibrary.org/obo/ZFA_0001659
ZP:0107443	http://purl.obolibrary.org/obo/ZFA_0000424
ZP:0107444	http://purl.obolibrary.org/obo/ZFA_0001469
ZP:0107445	http://purl.obolibrary.org/obo/ZFA_0005415
ZP:0107446	http://purl.obolibrary.org/obo/ZFA_0001370
ZP:0107447	http://purl.obolibrary.org/obo/ZFA_0001390
ZP:0107448	http://purl.obolibrary.org/obo/ZFA_0005571
ZP:0107449	http://purl.obolibrary.org/obo/ZFA_0005605
ZP:0107450	http://purl.obolibrary.org/obo/ZFA_0005076
ZP:0107451	http://purl.obolibrary.org/obo/ZFA_0000778
ZP:0107452	http://purl.obolibrary.org/obo/ZFA_0009191
ZP:0107453	http://purl.obolibrary.org/obo/ZFA_0005338
ZP:0107454	http://purl.obolibrary.org/obo/ZFA_0001643
ZP:0107455	http://purl.obolibrary.org/obo/ZFA_0000603
ZP:0107456	http://purl.obolibrary.org/obo/ZFA_0001189
ZP:0107457	http://purl.obolibrary.org/obo/ZFA_0007030
ZP:0107458	http://purl.obolibrary.org/obo/ZFA_0001258
ZP:0107459	http://purl.obolibrary.org/obo/ZFA_0000279
ZP:0107460	http://purl.obolibrary.org/obo/ZFA_0001487
ZP:0107461	http://purl.obolibrary.org/obo/ZFA_0005459
ZP:0107462	http://purl.obolibrary.org/obo/ZFA_0000154
ZP:0107463	http://purl.obolibrary.org/obo/ZFA_0001531
ZP:0107464	http://purl.obolibrary.org/obo/ZFA_0001527
ZP:0107465	http://purl.obolibrary.org/obo/ZFA_0001115
ZP:0107466	http://purl.obolibrary.org/obo/ZFA_0009147
ZP:0107467	http://purl.obolibrary.org/obo/ZFA_0009073
ZP:0107468	http://purl.obolibrary.org/obo/ZFA_0000357
ZP:0107469	http://purl.obolibrary.org/obo/ZFA_0005468
ZP:0107470	http://purl.obolibrary.org/obo/ZFA_0001596
ZP:0107471	http://purl.obolibrary.org/obo/ZFA_0000539
ZP:0107472	http://purl.obolibrary.org/obo/ZFA_0000468
ZP:0107473	http://purl.obolibrary.org/obo/ZFA_0000322
ZP:0107474	http://purl.obolibrary.org/obo/ZFA_0001384
ZP:0107475	http://purl.obolibrary.org/obo/ZFA_0001383
ZP:0107476	http://purl.obolibrary.org/obo/ZFA_0000590
ZP:0107477	http://purl.obolibrary.org/obo/ZFA_0001094
ZP:0107478	http://purl.obolibrary.org/obo/ZFA_0005840
ZP:0107479	http://purl.obolibrary.org/obo/ZFA_0005105
ZP:0107480	http://purl.obolibrary.org/obo/ZFA_0005616
ZP:0107481	http://purl.obolibrary.org/obo/ZFA_0005155
ZP:0107482	http://purl.obolibrary.org/obo/ZFA_0001703
ZP:0107483	http://purl.obolibrary.org/obo/ZFA_0001109
ZP:0107484	http://purl.obolibrary.org/obo/ZFA_0001264
ZP:0107485	http://purl.obolibrary.org/obo/ZFA_0009016
ZP:0107486	http://purl.obolibrary.org/obo/ZFA_0005449
ZP:0107487	http://purl.obolibrary.org/obo/ZFA_0001214
ZP:0107488	http://purl.obolibrary.org/obo/ZFA_0007029
ZP:0107489	http://purl.obolibrary.org/obo/ZFA_0000107
ZP:0107490	http://purl.obolibrary.org/obo/ZFA_0001490
ZP:0107491	http://purl.obolibrary.org/obo/ZFA_0001453
ZP:0107492	http://purl.obolibrary.org/obo/ZFA_0009001
ZP:0107493	http://purl.obolibrary.org/obo/ZFA_0009248
ZP:0107494	http://purl.obolibrary.org/obo/ZFA_0000812
ZP:0107495	http://purl.obolibrary.org/obo/ZFA_0001194
ZP:0107496	http://purl.obolibrary.org/obo/ZFA_0001468
ZP:0107497	http://purl.obolibrary.org/obo/ZFA_0005117
ZP:0107498	http://purl.obolibrary.org/obo/ZFA_0007086
ZP:0107499	http://purl.obolibrary.org/obo/ZFA_0007094
