defined_class	affected_entity_1_sub	affected_entity_1_super	affected_entity_2_super	pato_id
http://purl.obolibrary.org/obo/ZP_0100276	http://purl.obolibrary.org/obo/BSPO_0000101	http://purl.obolibrary.org/obo/ZFA_0000114	http://purl.obolibrary.org/obo/ZFA_0005145	http://purl.obolibrary.org/obo/PATO_0002002
http://purl.obolibrary.org/obo/ZP_0100277	http://purl.obolibrary.org/obo/ZFA_0001058	http://purl.obolibrary.org/obo/ZFA_0001269	http://purl.obolibrary.org/obo/ZFA_0009036	http://purl.obolibrary.org/obo/PATO_0001905
