defined_class	affected_entity_1_sub	affected_entity_1_super	pato_id	affected_entity_2_super
ZP:0017823	BSPO:0000082	ZFA:0000014	PATO:0001961	ZFA:0005026
ZP:0011376	ZFA:0001119	ZFA:0001115	PATO:0002000	ZFA:0009198
ZP:0011375	ZFA:0001119	ZFA:0001115	PATO:0002001	ZFA:0009091
ZP:0011374	BSPO:0000085	ZFA:0001115	PATO:0002001	ZFA:0009198
ZP:0023063	ZFA:0009303	ZFA:0005604	PATO:0001453	ZFA:0005604
ZP:0016174	ZFA:0009248	ZFA:0000119	PATO:0002168	ZFA:0000143
ZP:0001735	GO:0030424	ZFA:0005181	PATO:0001645	ZFA:0001086
ZP:0001740	GO:0030424	ZFA:0009125	PATO:0001633	ZFA:0000402
ZP:0001743	GO:0030424	ZFA:0009125	PATO:0001667	ZFA:0005674
ZP:0001744	GO:0030424	ZFA:0009125	PATO:0001667	ZFA:0005675
ZP:0001745	GO:0030424	ZFA:0009125	PATO:0001453	ZFA:0005717
ZP:0001746	GO:0030424	ZFA:0009125	PATO:0001667	ZFA:0005717
ZP:0016701	GO:0030016	ZFA:0005145	PATO:0001453	ZFA:0001089
ZP:0011163	GO:0030424	ZFA:0009052	PATO:0002002	ZFA:0009135
ZP:0016647	ZFA:0005746	ZFA:0000135	PATO:0001505	ZFA:0005746
ZP:0011084	BSPO:0000072	ZFA:0001115	PATO:0002000	ZFA:0009244
ZP:0011073	BSPO:0000071	ZFA:0000075	PATO:0002001	ZFA:0009244
ZP:0016501	BSPO:0000079	ZFA:0001115	PATO:0002001	ZFA:0009199
ZP:0022749	BSPO:0000079	ZFA:0001114	PATO:0002001	ZFA:0009091
ZP:0013451	ZFA:0001463	ZFA:0001115	PATO:0001905	ZFA:0009091
ZP:0016411	BSPO:0000082	ZFA:0000032	PATO:0002001	ZFA:0009100
ZP:0016271	BSPO:0000085	ZFA:0001115	PATO:0002270	ZFA:0009091
ZP:0016272	BSPO:0000085	ZFA:0001115	PATO:0002270	ZFA:0009199
ZP:0016273	BSPO:0000085	ZFA:0001117	PATO:0002270	ZFA:0009091
ZP:0006015	GO:0030425	ZFA:0009319	PATO:0002261	ZFA:0001464
ZP:0006012	GO:0030424	ZFA:0009319	PATO:0002261	ZFA:0000024
ZP:0004890	BSPO:0000071	ZFA:0001115	PATO:0002001	ZFA:0009091
ZP:0004889	BSPO:0001001	ZFA:0001094	PATO:0002002	ZFA:0009150
ZP:0004888	BSPO:0000013	ZFA:0001094	PATO:0002002	ZFA:0009244
ZP:0004887	BSPO:0000013	ZFA:0001094	PATO:0002002	ZFA:0009150
ZP:0016267	BSPO:0000079	ZFA:0005222	PATO:0002000	ZFA:0009091
ZP:0001825	ZFA:0009000	ZFA:0001069	PATO:0001852	ZFA:0000066
ZP:0018870	BSPO:0000075	ZFA:0000152	PATO:0002000	ZFA:0009127
ZP:0014887	ZFA:0009076	ZFA:0000075	PATO:0002259	ZFA:0005266
ZP:0014884	BSPO:0000063	ZFA:0000075	PATO:0002001	ZFA:0009076
ZP:0014585	ZFA:0005147	ZFA:0000277	PATO:0000642	ZFA:0000277
ZP:0014504	BSPO:0000083	ZFA:0001108	PATO:0001905	ZFA:0009147
ZP:0014437	BSPO:0000082	ZFA:0000032	PATO:0001905	ZFA:0009100
ZP:0004144	GO:0042995	ZFA:0001673	PATO:0000624	ZFA:0005312
ZP:0022818	BSPO:0000079	ZFA:0005024	PATO:0002002	ZFA:0009065
ZP:0009619	BSPO:0000071	ZFA:0000279	PATO:0002001	ZFA:0000003
ZP:0019821	BSPO:0000075	ZFA:0000152	PATO:0002001	ZFA:0009262
ZP:0010108	GO:0030424	ZFA:0009125	PATO:0001667	ZFA:0005677
ZP:0010109	GO:0030424	ZFA:0009125	PATO:0001667	ZFA:0005683
ZP:0009510	ZFA:0005249	ZFA:0000118	PATO:0002001	ZFA:0009036
ZP:0019729	ZFA:0009114	ZFA:0000155	PATO:0001435	ZFA:0001089
ZP:0100097	ZFA:0005844	ZFA:0000128	PATO:0002000	ZFA:0009065
