defined_class	affected_entity_1_super	pato_id	affected_entity_2_sub	affected_entity_2_super
ZP:0000037	ZFA:0000046	PATO:0002000	BSPO:0000084	ZFA:0000143
ZP:0000466	ZFA:0000114	PATO:0000133	BSPO:0000017	ZFA:0001094
ZP:0000467	ZFA:0000114	PATO:0001653	BSPO:0000075	ZFA:0001094
ZP:0000468	ZFA:0000360	PATO:0001653	BSPO:0000075	ZFA:0001094
ZP:0000471	ZFA:0001338	PATO:0000133	BSPO:0000017	ZFA:0001094
ZP:0001243	ZFA:0000115	PATO:0001999	GO:0031012	ZFA:0000115
ZP:0001244	ZFA:0000115	PATO:0002001	GO:0031012	ZFA:0000115
ZP:0001313	ZFA:0009256	PATO:0002000	GO:0005833	ZFA:0009256
ZP:0001385	ZFA:0009150	PATO:0002168	ZFA:0000092	ZFA:0000075
ZP:0001386	ZFA:0009165	PATO:0002168	BSPO:0000682	ZFA:0000075
ZP:0001515	ZFA:0005277	PATO:0002270	GO:0005583	ZFA:0009115
ZP:0001730	ZFA:0000671	PATO:0001999	GO:0030424	ZFA:0005180
ZP:0001731	ZFA:0000671	PATO:0001999	GO:0030424	ZFA:0009052
ZP:0001960	ZFA:0001094	PATO:0002000	ZFA:0009248	ZFA:0001576
ZP:0002397	ZFA:0000152	PATO:0002001	ZFA:0009000	ZFA:0000152
ZP:0002398	ZFA:0000152	PATO:0001999	GO:0005813	ZFA:0009000
ZP:0002632	ZFA:0001205	PATO:0002327	BSPO:0000013	ZFA:0001094
ZP:0002796	ZFA:0009165	PATO:0001999	GO:0030175	ZFA:0009165
ZP:0003034	ZFA:0000135	PATO:0001999	GO:0005791	ZFA:0009000
ZP:0003179	ZFA:0000001	PATO:0002001	GO:0005929	ZFA:0009034
ZP:0003217	ZFA:0009000	PATO:0001999	GO:0030175	ZFA:0009000
ZP:0003772	ZFA:0009052	PATO:0001999	GO:0030424	ZFA:0009052
ZP:0003821	ZFA:0009243	PATO:0002001	GO:0030175	ZFA:0009243
ZP:0003822	ZFA:0009243	PATO:0002001	GO:0043005	ZFA:0009244
ZP:0004037	ZFA:0000093	PATO:0002168	BSPO:0000079	ZFA:0001176
ZP:0004145	ZFA:0005286	PATO:0001772	GO:0042995	ZFA:0001673
ZP:0004184	ZFA:0009256	PATO:0002270	BSPO:0000005	ZFA:0000084
ZP:0004271	ZFA:0009138	PATO:0002002	GO:0032059	ZFA:0009138
ZP:0004572	ZFA:0001094	PATO:0001999	GO:0005833	ZFA:0009256
ZP:0005335	ZFA:0000086	PATO:0001999	GO:0005923	ZFA:0000086
ZP:0005347	ZFA:0009288	PATO:0002000	GO:0032059	ZFA:0009288
ZP:0005421	ZFA:0000001	PATO:0002083	GO:0005879	ZFA:0009032
ZP:0005449	ZFA:0009367	PATO:0002001	GO:0032420	ZFA:0009367
ZP:0005450	ZFA:0009367	PATO:0002001	GO:0060091	ZFA:0009367
ZP:0005598	ZFA:0000075	PATO:0002000	GO:0043005	ZFA:0009052
ZP:0005605	ZFA:0001094	PATO:0002000	GO:0043005	ZFA:0000200
ZP:0005689	ZFA:0009117	PATO:0002001	GO:0005634	ZFA:0009117
ZP:0005750	ZFA:0005179	PATO:0001999	GO:0030424	ZFA:0005179
ZP:0005825	ZFA:0000112	PATO:0000133	BSPO:0000017	ZFA:0001094
ZP:0005997	ZFA:0001330	PATO:0002001	GO:0045202	ZFA:0009248
ZP:0006080	ZFA:0000151	PATO:0001999	GO:0005902	ZFA:0009034
ZP:0006115	ZFA:0005169	PATO:0002270	GO:0031982	ZFA:0005169
ZP:0006433	ZFA:0009255	PATO:0001905	GO:0045202	ZFA:0009255
ZP:0006496	ZFA:0009238	PATO:0002002	GO:0043005	ZFA:0009238
ZP:0007033	ZFA:0000001	PATO:0001999	GO:0031514	ZFA:0000001
ZP:0007041	ZFA:0000115	PATO:0002168	BSPO:0000007	ZFA:0001094
ZP:0007042	ZFA:0000115	PATO:0002168	ZFA:0000092	ZFA:0001094
ZP:0007135	ZFA:0000143	PATO:0002000	GO:0001750	ZFA:0009127
ZP:0007169	ZFA:0009116	PATO:0002001	GO:0030016	ZFA:0009116
ZP:0007338	ZFA:0000114	PATO:0001793	BSPO:0000013	ZFA:0001094
ZP:0007340	ZFA:0000115	PATO:0001793	BSPO:0000013	ZFA:0001094
ZP:0007341	ZFA:0000123	PATO:0001793	BSPO:0000013	ZFA:0001094
ZP:0007521	ZFA:0000175	PATO:0001193	GO:0005604	ZFA:0000105
ZP:0007908	ZFA:0000940	PATO:0002001	GO:0060091	ZFA:0000243
ZP:0008027	ZFA:0000471	PATO:0001999	GO:0030017	ZFA:0009316
ZP:0008028	ZFA:0000471	PATO:0001999	GO:0030018	ZFA:0009316
ZP:0008032	ZFA:0005277	PATO:0001999	GO:0030016	ZFA:0009116
ZP:0008121	ZFA:0009115	PATO:0002002	GO:0016020	ZFA:0009115
ZP:0008331	ZFA:0000001	PATO:0002000	GO:0005929	ZFA:0009035
ZP:0008332	ZFA:0000150	PATO:0001999	GO:0005929	ZFA:0009035
ZP:0008446	ZFA:0000678	PATO:0002002	GO:0005771	ZFA:0000678
ZP:0008476	ZFA:0000001	PATO:0002001	GO:0005929	ZFA:0009035
ZP:0008481	ZFA:0000360	PATO:0002168	BSPO:0000007	ZFA:0001094
ZP:0008482	ZFA:0000360	PATO:0002168	BSPO:0000075	ZFA:0001094
ZP:0008517	ZFA:0001326	PATO:0002002	GO:0005634	ZFA:0009034
ZP:0008627	ZFA:0001094	PATO:0002001	GO:0005833	ZFA:0009256
ZP:0008757	ZFA:0001285	PATO:0002002	GO:0030175	ZFA:0009303
ZP:0009033	ZFA:0000242	PATO:0002001	ZFA:0001287	ZFA:0000669
ZP:0009034	ZFA:0000242	PATO:0002001	ZFA:0009354	ZFA:0000669
ZP:0009099	ZFA:0009306	PATO:0001852	BSPO:0000063	ZFA:0001261
ZP:0009141	ZFA:0005145	PATO:0002001	GO:0016529	ZFA:0009114
ZP:0009151	ZFA:0009244	PATO:0002001	GO:0043005	ZFA:0009244
ZP:0009251	ZFA:0000114	PATO:0002168	BSPO:0000007	ZFA:0001094
ZP:0009252	ZFA:0000114	PATO:0002168	BSPO:0000067	ZFA:0001094
ZP:0009462	ZFA:0009036	PATO:0002001	GO:0005911	ZFA:0009036
ZP:0009602	ZFA:0001094	PATO:0002000	ZFA:0009248	ZFA:0000200
ZP:0009843	ZFA:0001507	PATO:0000651	BSPO:0000072	ZFA:0001580
ZP:0009905	ZFA:0009115	PATO:0002001	GO:0032982	ZFA:0009115
ZP:0009906	ZFA:0009316	PATO:0002001	GO:0032982	ZFA:0009316
ZP:0010051	ZFA:0000123	PATO:0000133	BSPO:0000017	ZFA:0001094
ZP:0010054	ZFA:0000140	PATO:0000133	BSPO:0000017	ZFA:0001094
ZP:0010152	ZFA:0009149	PATO:0002168	BSPO:0000072	ZFA:0001064
ZP:0010209	ZFA:0000012	PATO:0002001	GO:0043209	ZFA:0009076
ZP:0010210	ZFA:0000075	PATO:0002001	GO:0042995	ZFA:0009292
ZP:0010290	ZFA:0001094	PATO:0002000	ZFA:0009248	ZFA:0001155
ZP:0010390	ZFA:0000052	PATO:0001505	ZFA:0009081	ZFA:0000102
ZP:0010407	ZFA:0009091	PATO:0002168	BSPO:0000384	ZFA:0001135
ZP:0010419	ZFA:0000150	PATO:0002000	GO:0005903	ZFA:0009034
ZP:0010652	ZFA:0000669	PATO:0002001	GO:0005833	ZFA:0009354
ZP:0010691	ZFA:0009310	PATO:0001999	GO:0043005	ZFA:0009310
ZP:0010701	ZFA:0000150	PATO:0002000	GO:0031514	ZFA:0000150
ZP:0010731	ZFA:0001094	PATO:0002000	BSPO:0000084	ZFA:0000008
ZP:0010786	ZFA:0001157	PATO:0002001	GO:0042995	ZFA:0009000
ZP:0010826	ZFA:0009309	PATO:0002269	BSPO:0000070	ZFA:0000114
ZP:0010830	ZFA:0000001	PATO:0002001	GO:0031514	ZFA:0000001
ZP:0010833	ZFA:0000051	PATO:0002001	GO:0031514	ZFA:0000051
ZP:0010859	ZFA:0000554	PATO:0001999	ZFA:0009359	ZFA:0000554
ZP:0010968	ZFA:0000001	PATO:0002001	GO:0005929	ZFA:0000001
ZP:0010969	ZFA:0000150	PATO:0002001	GO:0005929	ZFA:0000150
ZP:0011023	ZFA:0000938	PATO:0002001	GO:0005929	ZFA:0009033
ZP:0011024	ZFA:0001558	PATO:0002001	GO:0005902	ZFA:0001558
ZP:0011030	ZFA:0001673	PATO:0001999	GO:0036057	ZFA:0001673
ZP:0011255	ZFA:0009000	PATO:0002269	BSPO:0000063	ZFA:0000077
ZP:0011362	ZFA:0000114	PATO:0002000	ZFA:0009000	ZFA:0005058
ZP:0011472	ZFA:0000075	PATO:0002000	ZFA:0009292	ZFA:0001083
ZP:0011474	ZFA:0001115	PATO:0002001	ZFA:0009147	ZFA:0007009
ZP:0011475	ZFA:0001115	PATO:0002001	GO:0030424	ZFA:0009052
ZP:0011477	ZFA:0000075	PATO:0002002	ZFA:0009292	ZFA:0001083
ZP:0011484	ZFA:0009292	PATO:0002001	GO:0005818	ZFA:0009292
ZP:0011562	ZFA:0000093	PATO:0002002	GO:0005634	ZFA:0000093
ZP:0011564	ZFA:0001566	PATO:0002002	GO:0060473	ZFA:0001566
ZP:0011598	ZFA:0001135	PATO:0002000	GO:0005930	ZFA:0001135
ZP:0011709	ZFA:0000435	PATO:0002001	GO:0030424	ZFA:0009310
ZP:0011710	ZFA:0000445	PATO:0002001	GO:0043005	ZFA:0009310
ZP:0011751	ZFA:0001058	PATO:0002001	GO:0030424	ZFA:0001058
ZP:0011761	ZFA:0009076	PATO:0002001	GO:0043209	ZFA:0009076
ZP:0011794	ZFA:0009316	PATO:0002001	GO:0042995	ZFA:0009316
ZP:0011852	ZFA:0000075	PATO:0002001	ZFA:0009076	ZFA:0000075
ZP:0011901	ZFA:0009256	PATO:0002002	GO:0005776	ZFA:0009256
ZP:0011902	ZFA:0009256	PATO:0002002	GO:0044754	ZFA:0009256
ZP:0012017	ZFA:0001285	PATO:0002002	GO:0030175	ZFA:0001285
ZP:0012032	ZFA:0000075	PATO:0002001	ZFA:0009292	ZFA:0001083
ZP:0012057	ZFA:0000713	PATO:0002001	ZFA:0009052	ZFA:0000713
ZP:0012185	ZFA:0009141	PATO:0002001	GO:0042995	ZFA:0009141
ZP:0012212	ZFA:0009262	PATO:0002000	GO:0001750	ZFA:0009262
ZP:0012271	ZFA:0005110	PATO:0002001	ZFA:0009065	ZFA:0000385
ZP:0012331	ZFA:0009150	PATO:0002001	GO:1902737	ZFA:0009150
ZP:0012392	ZFA:0000119	PATO:0002001	ZFA:0009315	ZFA:0000119
ZP:0012394	ZFA:0001329	PATO:0002001	GO:0030425	ZFA:0009310
ZP:0012510	ZFA:0000059	PATO:0002001	GO:0030424	ZFA:0000059
ZP:0012515	ZFA:0001108	PATO:0002001	GO:0030424	ZFA:0001108
ZP:0012567	ZFA:0009221	PATO:0002002	GO:0044316	ZFA:0009221
ZP:0012906	ZFA:0000554	PATO:0001905	ZFA:0009358	ZFA:0000554
ZP:0013102	ZFA:0009262	PATO:0001905	GO:0032391	ZFA:0009262
ZP:0013416	ZFA:0000075	PATO:0001905	ZFA:0009052	ZFA:0000075
