defined_class	affected_entity_1_sub	affected_entity_1_super	pato_id	affected_entity_2_super
http://purl.obolibrary.org/obo/ZP_0124866	ZFA:0009000	ZFA:0001094	PATO:0001738	ZFA:0000084
http://purl.obolibrary.org/obo/ZP_0124867	ZFA:0000368	ZFA:0001161	PATO:0002168	ZFA:0000257
http://purl.obolibrary.org/obo/ZP_0124868	BSPO:0000079	ZFA:0000075	PATO:0002002	ZFA:0009169
http://purl.obolibrary.org/obo/ZP_0124869	BSPO:0000056	ZFA:0000032	PATO:0001905	ZFA:0009301
http://purl.obolibrary.org/obo/ZP_0124870	ZFA:0005565	ZFA:0000558	PATO:0001505	ZFA:0000676
http://purl.obolibrary.org/obo/ZP_0124871	GO:0031982	ZFA:0009000	PATO:0002270	ZFA:0001185
http://purl.obolibrary.org/obo/ZP_0124872	GO:0005768	ZFA:0009000	PATO:0002270	ZFA:0001185
http://purl.obolibrary.org/obo/ZP_0124873	GO:0005764	ZFA:0009000	PATO:0002270	ZFA:0001185
http://purl.obolibrary.org/obo/ZP_0124874	BSPO:0000689	ZFA:0000250	PATO:0002001	ZFA:0009031
http://purl.obolibrary.org/obo/ZP_0124875	GO:0005739	ZFA:0009115	PATO:0002269	ZFA:0009115
http://purl.obolibrary.org/obo/ZP_0124876	BSPO:0000079	ZFA:0005024	PATO:0001555	ZFA:0005559
http://purl.obolibrary.org/obo/ZP_0124877	BSPO:0000079	ZFA:0005024	PATO:0001555	ZFA:0005314
http://purl.obolibrary.org/obo/ZP_0124878	BSPO:0000072	ZFA:0000029	PATO:0002000	ZFA:0000022
http://purl.obolibrary.org/obo/ZP_0124879	ZFA:0005224	ZFA:0001117	PATO:0002001	ZFA:0009091
http://purl.obolibrary.org/obo/ZP_0124880	ZFA:0001119	ZFA:0001115	PATO:0002000	ZFA:0009091
http://purl.obolibrary.org/obo/ZP_0124881	GO:0016020	ZFA:0005309	PATO:0001453	ZFA:0005313
http://purl.obolibrary.org/obo/ZP_0124882	BSPO:0000072	ZFA:0000075	PATO:0002000	ZFA:0009244
http://purl.obolibrary.org/obo/ZP_0124883	BSPO:0000083	ZFA:0001108	PATO:0002001	ZFA:0009147
http://purl.obolibrary.org/obo/ZP_0124884	BSPO:0000079	ZFA:0001094	PATO:0002001	ZFA:0009091
http://purl.obolibrary.org/obo/ZP_0124885	BSPO:0000007	ZFA:0000213	PATO:0002002	ZFA:0009248
http://purl.obolibrary.org/obo/ZP_0124886	BSPO:0000000	ZFA:0000213	PATO:0002002	ZFA:0009248
http://purl.obolibrary.org/obo/ZP_0124887	BSPO:0000083	ZFA:0000197	PATO:0002001	ZFA:0009248
http://purl.obolibrary.org/obo/ZP_0124888	BSPO:0000082	ZFA:0000197	PATO:0002002	ZFA:0009248
http://purl.obolibrary.org/obo/ZP_0124889	BSPO:0000007	ZFA:0000197	PATO:0002002	ZFA:0009248
http://purl.obolibrary.org/obo/ZP_0124890	BSPO:0000083	ZFA:0000059	PATO:0001905	ZFA:0009147
http://purl.obolibrary.org/obo/ZP_0124891	BSPO:0000083	ZFA:0001108	PATO:0002000	ZFA:0009147
http://purl.obolibrary.org/obo/ZP_0124892	GO:0030016	ZFA:0001056	PATO:0001453	ZFA:0000610
http://purl.obolibrary.org/obo/ZP_0124893	BSPO:0000075	ZFA:0001249	PATO:0002000	ZFA:0005739
http://purl.obolibrary.org/obo/ZP_0124894	BSPO:0000056	ZFA:0000032	PATO:0002001	ZFA:0009301
http://purl.obolibrary.org/obo/ZP_0124895	BSPO:0000072	ZFA:0001115	PATO:0002000	ZFA:0000243
http://purl.obolibrary.org/obo/ZP_0124896	MPATH:537	ZFA:0001094	PATO:0002001	ZFA:0009000
http://purl.obolibrary.org/obo/ZP_0124897	ZFA:0009000	ZFA:0000035	PATO:0001505	ZFA:0001326
http://purl.obolibrary.org/obo/ZP_0124898	BSPO:0000079	ZFA:0000029	PATO:0002002	ZFA:0009248
http://purl.obolibrary.org/obo/ZP_0124899	BSPO:0000079	ZFA:0000128	PATO:0002002	ZFA:0009248
http://purl.obolibrary.org/obo/ZP_0124900	BSPO:0000082	ZFA:0000029	PATO:0002002	ZFA:0009248
http://purl.obolibrary.org/obo/ZP_0124901	BSPO:0000072	ZFA:0001115	PATO:0002001	ZFA:0000243
http://purl.obolibrary.org/obo/ZP_0124902	GO:0030016	ZFA:0009115	PATO:0000133	ZFA:0009115
http://purl.obolibrary.org/obo/ZP_0124903	BSPO:0000055	ZFA:0001115	PATO:0002270	ZFA:0009256
http://purl.obolibrary.org/obo/ZP_0124904	GO:0036379	ZFA:0005784	PATO:0001453	ZFA:0001089
http://purl.obolibrary.org/obo/ZP_0124905	ZFA:0005220	ZFA:0001114	PATO:0002002	ZFA:0009091
http://purl.obolibrary.org/obo/ZP_0124906	ZFA:0005220	ZFA:0001114	PATO:0001905	ZFA:0009091
http://purl.obolibrary.org/obo/ZP_0124907	ZFA:0001463	ZFA:0001117	PATO:0002001	ZFA:0009091
http://purl.obolibrary.org/obo/ZP_0124908	ZFA:0001463	ZFA:0001115	PATO:0002001	ZFA:0009091
http://purl.obolibrary.org/obo/ZP_0124909	ZFA:0009043	ZFA:0005249	PATO:0002001	ZFA:0009327
http://purl.obolibrary.org/obo/ZP_0124910	GO:0030424	ZFA:0009310	PATO:0002168	ZFA:0000029
http://purl.obolibrary.org/obo/ZP_0124911	GO:0030424	ZFA:0009310	PATO:0002168	ZFA:0000079
http://purl.obolibrary.org/obo/ZP_0124912	ZFA:0001119	ZFA:0001115	PATO:0002001	ZFA:0009199
http://purl.obolibrary.org/obo/ZP_0124913	BSPO:0000071	ZFA:0001115	PATO:0002000	ZFA:0005110
http://purl.obolibrary.org/obo/ZP_0124914	BSPO:0000079	ZFA:0000029	PATO:0001905	ZFA:0009071
http://purl.obolibrary.org/obo/ZP_0124915	GO:0005811	ZFA:0000123	PATO:0002270	ZFA:0000123
http://purl.obolibrary.org/obo/ZP_0124916	GO:0032421	ZFA:0000166	PATO:0000133	ZFA:0000166
http://purl.obolibrary.org/obo/ZP_0124917	GO:0032421	ZFA:0000030	PATO:0000133	ZFA:0000030
http://purl.obolibrary.org/obo/ZP_0124918	GO:0030424	ZFA:0009238	PATO:0002000	ZFA:0009135
