defined_class	affected_entity_1_super	pato_id
ZP:0000002	GO:0001756	PATO:0001507
ZP:0000003	GO:0001757	PATO:0001507
ZP:0000004	GO:0003140	PATO:0001507
ZP:0000005	GO:0007398	PATO:0001507
ZP:0000006	GO:0048368	PATO:0001507
ZP:0000007	GO:0048514	PATO:0001507
ZP:0000008	GO:0060218	PATO:0001507
ZP:0000009	ZFA:0000007	PATO:0001997
ZP:0000011	ZFA:0000155	PATO:0000001
ZP:0000012	ZFA:0000155	PATO:0000051
ZP:0000013	ZFA:0000155	PATO:0000052
ZP:0000018	ZFA:0001117	PATO:0000001
ZP:0000019	ZFA:0001285	PATO:0000646
ZP:0000020	ZFA:0001462	PATO:0000330
ZP:0000021	ZFA:0001462	PATO:0001617
ZP:0000022	ZFA:0009014	PATO:0001997
ZP:0000023	ZFA:0000029	PATO:0000051
ZP:0000025	ZFA:0000778	PATO:0001997
ZP:0000026	ZFA:0001115	PATO:0000574
ZP:0000027	ZFA:0001117	PATO:0000574
ZP:0000028	GO:0007492	PATO:0001507
ZP:0000029	GO:0031290	PATO:0001507
ZP:0000030	GO:0048741	PATO:0001507
ZP:0000031	GO:0048798	PATO:0000297
ZP:0000032	ZFA:0000008	PATO:0000001
ZP:0000033	ZFA:0000017	PATO:0000051
ZP:0000034	ZFA:0000029	PATO:0000001
ZP:0000035	ZFA:0000042	PATO:0000646
ZP:0000036	ZFA:0000045	PATO:0000001
ZP:0000038	ZFA:0000054	PATO:0001450
ZP:0000039	ZFA:0000076	PATO:0001241
ZP:0000040	ZFA:0000084	PATO:0000001
ZP:0000041	ZFA:0000095	PATO:0000001
ZP:0000042	ZFA:0000100	PATO:0000646
ZP:0000043	ZFA:0000107	PATO:0000587
ZP:0000044	ZFA:0000114	PATO:0000001
ZP:0000045	ZFA:0000123	PATO:0001921
ZP:0000046	ZFA:0000141	PATO:0001483
ZP:0000047	ZFA:0000143	PATO:0000937
ZP:0000048	ZFA:0000152	PATO:0000051
ZP:0000049	ZFA:0000292	PATO:0000001
ZP:0000050	ZFA:0000445	PATO:0000587
ZP:0000051	ZFA:0000445	PATO:0000937
ZP:0000052	ZFA:0000570	PATO:0000051
ZP:0000054	ZFA:0001114	PATO:0000587
ZP:0000055	ZFA:0001161	PATO:0000001
ZP:0000056	ZFA:0001161	PATO:0001483
ZP:0000057	ZFA:0001205	PATO:0000587
ZP:0000059	ZFA:0001249	PATO:0001921
ZP:0000060	ZFA:0001260	PATO:0001921
ZP:0000061	ZFA:0001383	PATO:0001483
ZP:0000062	ZFA:0001399	PATO:0000587
ZP:0000064	ZFA:0001400	PATO:0000587
ZP:0000065	ZFA:0001422	PATO:0000587
ZP:0000066	ZFA:0001516	PATO:0000462
ZP:0000067	ZFA:0005198	PATO:0000470
ZP:0000068	ZFA:0009149	PATO:0000462
ZP:0000069	GO:0007411	PATO:0001507
ZP:0000070	GO:0021772	PATO:0001507
ZP:0000071	GO:0048883	PATO:0000502
ZP:0000072	GO:0048918	PATO:0001507
ZP:0000073	GO:0060384	PATO:0001507
ZP:0000074	GO:0097155	PATO:0001507
ZP:0000075	ZFA:0000048	PATO:0000937
ZP:0000076	ZFA:0000175	PATO:0000574
ZP:0000077	ZFA:0000357	PATO:0001483
ZP:0000078	ZFA:0000402	PATO:0000937
ZP:0000081	ZFA:0000554	PATO:0000937
ZP:0000082	ZFA:0000554	PATO:0001786
ZP:0000083	ZFA:0000940	PATO:0000646
ZP:0000084	ZFA:0000940	PATO:0001997
ZP:0000085	ZFA:0001157	PATO:0000411
ZP:0000086	ZFA:0001157	PATO:0001870
ZP:0000087	ZFA:0001472	PATO:0001997
