defined_class	affected_entity_1_super	pato_id
http://purl.obolibrary.org/obo/ZP_0110123	GO:0043066	PATO:0002051
http://purl.obolibrary.org/obo/ZP_0110124	ZFA:0001115	PATO:0000051
http://purl.obolibrary.org/obo/ZP_0110125	ZFA:0001115	PATO:0000645
http://purl.obolibrary.org/obo/ZP_0110126	ZFA:0009115	PATO:0000051
http://purl.obolibrary.org/obo/ZP_0110127	GO:0097324	PATO:0002052
http://purl.obolibrary.org/obo/ZP_0110128	GO:0014850	PATO:0002302
http://purl.obolibrary.org/obo/ZP_0110129	GO:1903047	PATO:0001507
http://purl.obolibrary.org/obo/ZP_0110130	ZFA:0000364	PATO:0000406
http://purl.obolibrary.org/obo/ZP_0110131	ZFA:0001157	PATO:0002058
http://purl.obolibrary.org/obo/ZP_0110132	ZFA:0000438	PATO:0000406
http://purl.obolibrary.org/obo/ZP_0110133	ZFA:0001189	PATO:0001598
http://purl.obolibrary.org/obo/ZP_0110134	ZFA:0000126	PATO:0000574
http://purl.obolibrary.org/obo/ZP_0110135	ZFA:0000538	PATO:0000406
http://purl.obolibrary.org/obo/ZP_0110136	ZFA:0000538	PATO:0001798
http://purl.obolibrary.org/obo/ZP_0110137	ZFA:0000555	PATO:0002444
http://purl.obolibrary.org/obo/ZP_0110138	ZFA:0001269	PATO:0000644
http://purl.obolibrary.org/obo/ZP_0110139	GO:0031101	PATO:0001753
http://purl.obolibrary.org/obo/ZP_0110140	GO:0031101	PATO:0001749
http://purl.obolibrary.org/obo/ZP_0110141	GO:0031101	PATO:0000912
http://purl.obolibrary.org/obo/ZP_0110142	ZFA:0001269	PATO:0000141
http://purl.obolibrary.org/obo/ZP_0110143	ZFA:0000086	PATO:0000937
http://purl.obolibrary.org/obo/ZP_0110144	GO:0006264	PATO:0002052
http://purl.obolibrary.org/obo/ZP_0110145	GO:0060429	PATO:0001236
http://purl.obolibrary.org/obo/ZP_0110146	ZFA:0001176	PATO:0001444
http://purl.obolibrary.org/obo/ZP_0110147	GO:0001702	PATO:0001236
http://purl.obolibrary.org/obo/ZP_0110148	GO:0001702	PATO:0000502
http://purl.obolibrary.org/obo/ZP_0110149	ZFA:0000123	PATO:0000941
http://purl.obolibrary.org/obo/ZP_0110150	GO:0055113	PATO:0000057
http://purl.obolibrary.org/obo/ZP_0110151	GO:0021522	PATO:0001236
http://purl.obolibrary.org/obo/ZP_0110152	GO:0008045	PATO:0001236
http://purl.obolibrary.org/obo/ZP_0110153	GO:0001755	PATO:0001236
http://purl.obolibrary.org/obo/ZP_0110154	ZFA:0005125	PATO:0001609
http://purl.obolibrary.org/obo/ZP_0110155	GO:0036268	PATO:0015003
http://purl.obolibrary.org/obo/ZP_0110156	ZFA:0005314	PATO:0001714
http://purl.obolibrary.org/obo/ZP_0110157	ZFA:0009327	PATO:0001566
http://purl.obolibrary.org/obo/ZP_0110158	ZFA:0009309	PATO:0002050
http://purl.obolibrary.org/obo/ZP_0110159	ZFA:0009309	PATO:0001566
http://purl.obolibrary.org/obo/ZP_0110160	GO:0030595	PATO:0001507
http://purl.obolibrary.org/obo/ZP_0110161	GO:0030593	PATO:0000057
http://purl.obolibrary.org/obo/ZP_0110162	GO:0019915	PATO:0002018
http://purl.obolibrary.org/obo/ZP_0110163	ZFA:0001076	PATO:0000587
http://purl.obolibrary.org/obo/ZP_0110164	GO:0042254	PATO:0001507
