defined_class	affected_entity_1_sub	affected_entity_1_super	pato_id
ZP:0000010	ZFA:0001462	ZFA:0000073	PATO:0001332
ZP:0000014	ZFA:0001462	ZFA:0000733	PATO:0001332
ZP:0000015	ZFA:0001462	ZFA:0000858	PATO:0001332
ZP:0000016	ZFA:0001462	ZFA:0000982	PATO:0001332
ZP:0000017	ZFA:0001462	ZFA:0000983	PATO:0001332
ZP:0000024	ZFA:0009052	ZFA:0000075	PATO:0001997
ZP:0000053	ZFA:0005198	ZFA:0001032	PATO:0000628
ZP:0000079	ZFA:0009276	ZFA:0000402	PATO:0001997
ZP:0000080	ZFA:0009301	ZFA:0000402	PATO:0001997
ZP:0000089	GO:0030424	ZFA:0009125	PATO:0000574
ZP:0000090	GO:0030424	ZFA:0009125	PATO:0000937
ZP:0000101	ZFA:0009139	ZFA:0000017	PATO:0001997
ZP:0000116	BSPO:0000013	ZFA:0001094	PATO:0001469
ZP:0000156	BSPO:0000013	ZFA:0000255	PATO:0000574
ZP:0000170	ZFA:0009248	ZFA:0007035	PATO:0000470
ZP:0000171	ZFA:0009248	ZFA:0007035	PATO:0001923
ZP:0000199	ZFA:0009000	ZFA:0001320	PATO:0000646
ZP:0000216	GO:0030424	ZFA:0009149	PATO:0000628
ZP:0000241	ZFA:0005145	ZFA:0001115	PATO:0001372
ZP:0000242	GO:0030017	ZFA:0005277	PATO:0000937
ZP:0000243	GO:0030018	ZFA:0005277	PATO:0000937
ZP:0000244	GO:0031430	ZFA:0005277	PATO:0001630
ZP:0000245	GO:0005862	ZFA:0009117	PATO:0000462
ZP:0000246	GO:0005884	ZFA:0009117	PATO:0000937
ZP:0000247	GO:0005884	ZFA:0009117	PATO:0001566
ZP:0000248	GO:0005884	ZFA:0009117	PATO:0001567
ZP:0000249	GO:0030016	ZFA:0009117	PATO:0000639
ZP:0000250	GO:0030016	ZFA:0009117	PATO:0000937
ZP:0000251	GO:0030016	ZFA:0009117	PATO:0000967
ZP:0000252	GO:0031941	ZFA:0009117	PATO:0001997
ZP:0000253	GO:0032982	ZFA:0009117	PATO:0001630
ZP:0000256	ZFA:0009169	ZFA:0000075	PATO:0000462
ZP:0000257	ZFA:0009169	ZFA:0000075	PATO:0001997
ZP:0000258	ZFA:0009247	ZFA:0000075	PATO:0001997
ZP:0000259	ZFA:0009292	ZFA:0000075	PATO:0000937
ZP:0000260	ZFA:0009292	ZFA:0000075	PATO:0001997
ZP:0000261	ZFA:0009301	ZFA:0000101	PATO:0000470
ZP:0000284	ZFA:0001486	ZFA:0000029	PATO:0000937
ZP:0000285	ZFA:0009248	ZFA:0000029	PATO:0000470
ZP:0000286	ZFA:0009306	ZFA:0000029	PATO:0001629
ZP:0000287	ZFA:0005314	ZFA:0000079	PATO:0001482
ZP:0000288	ZFA:0005314	ZFA:0000079	PATO:0001571
ZP:0000289	ZFA:0005314	ZFA:0000079	PATO:0001714
ZP:0000292	ZFA:0005250	ZFA:0000445	PATO:0001957
ZP:0000293	ZFA:0005314	ZFA:0000445	PATO:0001957
ZP:0000295	ZFA:0009292	ZFA:0000505	PATO:0002102
ZP:0000296	ZFA:0009248	ZFA:0001314	PATO:0000470
ZP:0000314	ZFA:0009000	ZFA:0001094	PATO:0000638
ZP:0000315	ZFA:0009000	ZFA:0001094	PATO:0001422
ZP:0000316	GO:0015030	ZFA:0009000	PATO:0001997
ZP:0000317	GO:0030532	ZFA:0009000	PATO:0001630
ZP:0000325	ZFA:0009091	ZFA:0001115	PATO:0001997
ZP:0000326	ZFA:0009091	ZFA:0001117	PATO:0001997
ZP:0000345	ZFA:0009127	ZFA:0000019	PATO:0000470
ZP:0000346	ZFA:0009248	ZFA:0000019	PATO:0000470
ZP:0000352	BSPO:0000029	ZFA:0000060	PATO:0000587
ZP:0000361	ZFA:0009316	ZFA:0000114	PATO:0000638
ZP:0000362	ZFA:0009316	ZFA:0000114	PATO:0001997
ZP:0000365	ZFA:0009053	ZFA:0000162	PATO:0001921
ZP:0000369	ZFA:0009034	ZFA:0000706	PATO:0000470
ZP:0000370	ZFA:0009034	ZFA:0001076	PATO:0000470
ZP:0000371	BSPO:0000013	ZFA:0001094	PATO:0000638
ZP:0000372	BSPO:0000013	ZFA:0001094	PATO:0001617
ZP:0000382	ZFA:0009242	ZFA:0001366	PATO:0000051
ZP:0000393	ZFA:0009327	ZFA:0000094	PATO:0001997
ZP:0000423	GO:0005634	ZFA:0000035	PATO:0000470
ZP:0000424	ZFA:0009000	ZFA:0000035	PATO:0001802
ZP:0000433	GO:0005884	ZFA:0001056	PATO:0000573
ZP:0000434	GO:0005884	ZFA:0001056	PATO:0000937
ZP:0000435	GO:0005927	ZFA:0001056	PATO:0000051
ZP:0000436	GO:0032982	ZFA:0001056	PATO:0000937
ZP:0000488	ZFA:0005490	ZFA:0000028	PATO:0001997
ZP:0000499	ZFA:0009248	ZFA:0001155	PATO:0001997
ZP:0000501	ZFA:0009118	ZFA:0001338	PATO:0000051
ZP:0000502	ZFA:0009248	ZFA:0001338	PATO:0001997
ZP:0000517	GO:0005634	ZFA:0009256	PATO:0000051
ZP:0000519	ZFA:0009019	ZFA:0000013	PATO:0000470
ZP:0000520	ZFA:0009248	ZFA:0000013	PATO:0002102
ZP:0000533	GO:0030017	ZFA:0000114	PATO:0000586
ZP:0000534	ZFA:0009316	ZFA:0000114	PATO:0000586
ZP:0000538	ZFA:0009316	ZFA:0001374	PATO:0000470
ZP:0000539	ZFA:0009316	ZFA:0001374	PATO:0001790
ZP:0000541	ZFA:0009316	ZFA:0005061	PATO:0000470
ZP:0000542	ZFA:0009316	ZFA:0005061	PATO:0001788
ZP:0000548	ZFA:0009324	ZFA:0000094	PATO:0000462
ZP:0000549	ZFA:0009324	ZFA:0000094	PATO:0001997
ZP:0000550	ZFA:0009354	ZFA:0000094	PATO:0000462
ZP:0000552	ZFA:0009014	ZFA:0005028	PATO:0001997
ZP:0000553	ZFA:0009324	ZFA:0005028	PATO:0000462
ZP:0000554	ZFA:0009324	ZFA:0005028	PATO:0001997
ZP:0000555	ZFA:0009327	ZFA:0005028	PATO:0001997
ZP:0000556	ZFA:0009354	ZFA:0005028	PATO:0000462
ZP:0000586	BSPO:0000013	ZFA:0001094	PATO:0000574
ZP:0000587	ZFA:0009000	ZFA:0001094	PATO:0002334
ZP:0000599	GO:0048770	ZFA:0009091	PATO:0001997
ZP:0000600	GO:0048770	ZFA:0009198	PATO:0001997
ZP:0000601	GO:0048770	ZFA:0009199	PATO:0001997
ZP:0000610	BSPO:0000084	ZFA:0000012	PATO:0000587
ZP:0000614	BSPO:0000084	ZFA:0000022	PATO:0000645
ZP:0000623	BSPO:0000071	ZFA:0000110	PATO:0000462
ZP:0000629	GO:0005634	ZFA:0000135	PATO:0001997
ZP:0000630	ZFA:0009000	ZFA:0000135	PATO:0000051
ZP:0000633	GO:0030424	ZFA:0000543	PATO:0000937
ZP:0000641	ZFA:0009000	ZFA:0001218	PATO:0001997
ZP:0000642	ZFA:0009000	ZFA:0001218	PATO:0002100
ZP:0000649	GO:0030424	ZFA:0009247	PATO:0001997
ZP:0000662	GO:0005634	ZFA:0000155	PATO:0000638
ZP:0000666	ZFA:0009084	ZFA:0001400	PATO:0000051
ZP:0000667	ZFA:0009084	ZFA:0001400	PATO:0000587
ZP:0000670	GO:0030017	ZFA:0005145	PATO:0000613
ZP:0000671	GO:0030017	ZFA:0005145	PATO:0000937
ZP:0000722	ZFA:0009036	ZFA:0000186	PATO:0001997
ZP:0000727	ZFA:0009354	ZFA:0001078	PATO:0001997
ZP:0000729	ZFA:0009354	ZFA:0001115	PATO:0001997
ZP:0000747	GO:0030017	ZFA:0005061	PATO:0000937
ZP:0000755	GO:0030017	ZFA:0009316	PATO:0000937
ZP:0000756	GO:0030018	ZFA:0009316	PATO:0000052
ZP:0000774	GO:0005634	ZFA:0000088	PATO:0000470
ZP:0000814	GO:0043296	ZFA:0001357	PATO:0001608
ZP:0000815	BSPO:0000083	ZFA:0001405	PATO:0000462
ZP:0000826	ZFA:0009316	ZFA:0000471	PATO:0000470
ZP:0000827	ZFA:0009234	ZFA:0001721	PATO:0000470
ZP:0000836	GO:0044303	ZFA:0000200	PATO:0001923
ZP:0000837	ZFA:0009009	ZFA:0000200	PATO:0001920
ZP:0000838	ZFA:0009248	ZFA:0000200	PATO:0000299
ZP:0000839	ZFA:0009248	ZFA:0000200	PATO:0001920
ZP:0000840	GO:0001518	ZFA:0009120	PATO:0001624
ZP:0000846	GO:0030424	ZFA:0009247	PATO:0000629
ZP:0000850	GO:0005634	ZFA:0000088	PATO:0001629
ZP:0000851	GO:0005874	ZFA:0000088	PATO:0000330
ZP:0000867	GO:0005634	ZFA:0009256	PATO:0000141
ZP:0000869	BSPO:0000013	ZFA:0001094	PATO:0002364
ZP:0000887	ZFA:0005155	ZFA:0000250	PATO:0000591
ZP:0000888	ZFA:0005155	ZFA:0000250	PATO:0001602
ZP:0000911	ZFA:0001596	ZFA:0001227	PATO:0000462
ZP:0000933	ZFA:0000393	ZFA:0001612	PATO:0001241
ZP:0000934	ZFA:0001596	ZFA:0001612	PATO:0001241
ZP:0000944	ZFA:0009127	ZFA:0000143	PATO:0000462
ZP:0000947	GO:0042470	ZFA:0009091	PATO:0000060
ZP:0000948	GO:0042470	ZFA:0009091	PATO:0001630
ZP:0000953	GO:0005833	ZFA:0009256	PATO:0000025
ZP:0000970	GO:0030424	ZFA:0000295	PATO:0002285
ZP:0000971	GO:0044303	ZFA:0000295	PATO:0000573
ZP:0000974	GO:0030424	ZFA:0000556	PATO:0000051
ZP:0000977	GO:0043005	ZFA:0007001	PATO:0000628
ZP:0000978	GO:0043005	ZFA:0007001	PATO:0000629
ZP:0000980	GO:0030424	ZFA:0009301	PATO:0001924
ZP:0000984	GO:0030424	ZFA:0009310	PATO:0000628
ZP:0000985	GO:0030424	ZFA:0009310	PATO:0000629
ZP:0000994	ZFA:0009367	ZFA:0000386	PATO:0001997
ZP:0001005	ZFA:0009366	ZFA:0000030	PATO:0000330
ZP:0001007	ZFA:0009366	ZFA:0000700	PATO:0000051
ZP:0001027	ZFA:0009100	ZFA:0001260	PATO:0000470
ZP:0001038	GO:0044303	ZFA:0009052	PATO:0000470
ZP:0001081	ZFA:0009277	ZFA:0000140	PATO:0001997
ZP:0001115	ZFA:0009301	ZFA:0000101	PATO:0001997
ZP:0001116	ZFA:0009301	ZFA:0000109	PATO:0001997
ZP:0001117	ZFA:0009361	ZFA:0000109	PATO:0001997
ZP:0001124	GO:0005929	ZFA:0000001	PATO:0000574
ZP:0001141	ZFA:0009242	ZFA:0001064	PATO:0000619
ZP:0001142	ZFA:0009242	ZFA:0001064	PATO:0000937
ZP:0001150	ZFA:0009248	ZFA:0001692	PATO:0000462
ZP:0001155	GO:0042995	ZFA:0009292	PATO:0000330
ZP:0001156	GO:0042995	ZFA:0009292	PATO:0001846
ZP:0001170	ZFA:0009047	ZFA:0000519	PATO:0001997
ZP:0001172	ZFA:0009047	ZFA:0001066	PATO:0001997
ZP:0001174	ZFA:0001463	ZFA:0001115	PATO:0000937
ZP:0001175	ZFA:0009091	ZFA:0001136	PATO:0001997
ZP:0001176	ZFA:0009198	ZFA:0001136	PATO:0000462
ZP:0001184	GO:0030016	ZFA:0001086	PATO:0000574
ZP:0001185	GO:0030016	ZFA:0001086	PATO:0000592
ZP:0001187	GO:0030016	ZFA:0009116	PATO:0000574
ZP:0001188	GO:0030016	ZFA:0009116	PATO:0000592
ZP:0001191	GO:0030016	ZFA:0009117	PATO:0000574
ZP:0001209	ZFA:0009186	ZFA:0000032	PATO:0001997
ZP:0001210	ZFA:0009301	ZFA:0000032	PATO:0001997
ZP:0001212	ZFA:0009186	ZFA:0000470	PATO:0001997
ZP:0001213	ZFA:0009186	ZFA:0000633	PATO:0001997
ZP:0001214	ZFA:0009301	ZFA:0000633	PATO:0001997
ZP:0001215	GO:0043005	ZFA:0001083	PATO:0001997
ZP:0001217	ZFA:0009177	ZFA:0001176	PATO:0000411
ZP:0001221	ZFA:0000007	ZFA:0005091	PATO:0000595
ZP:0001222	GO:0043005	ZFA:0007024	PATO:0001997
ZP:0001240	ZFA:0001486	ZFA:0000051	PATO:0000051
ZP:0001245	GO:0031012	ZFA:0000115	PATO:0000025
ZP:0001261	GO:0045177	ZFA:0009306	PATO:0000599
ZP:0001267	GO:0005929	ZFA:0000001	PATO:0001906
ZP:0001276	ZFA:0009000	ZFA:0000152	PATO:0000937
ZP:0001279	GO:0001750	ZFA:0009127	PATO:0001617
ZP:0001288	GO:0005874	ZFA:0000084	PATO:0000060
ZP:0001289	GO:0005634	ZFA:0000088	PATO:0000051
ZP:0001292	ZFA:0001473	ZFA:0001175	PATO:0000052
ZP:0001293	ZFA:0001473	ZFA:0001175	PATO:0000619
ZP:0001295	ZFA:0009065	ZFA:0000014	PATO:0001997
ZP:0001297	ZFA:0009138	ZFA:0000117	PATO:0000304
ZP:0001299	GO:0030175	ZFA:0000152	PATO:0000470
ZP:0001300	ZFA:0009065	ZFA:0000477	PATO:0001997
ZP:0001302	ZFA:0009065	ZFA:0001285	PATO:0001997
ZP:0001307	ZFA:0009065	ZFA:0005025	PATO:0001997
ZP:0001348	BSPO:0000036	ZFA:0000029	PATO:0000638
ZP:0001357	GO:0005634	ZFA:0009256	PATO:0001501
ZP:0001358	GO:0005833	ZFA:0009256	PATO:0000462
ZP:0001368	GO:0030425	ZFA:0000175	PATO:0000414
ZP:0001369	GO:0030425	ZFA:0000175	PATO:0000574
ZP:0001370	ZFA:0009091	ZFA:0001114	PATO:0000470
ZP:0001372	GO:0048788	ZFA:0009154	PATO:0000574
ZP:0001373	GO:0048788	ZFA:0009318	PATO:0000051
ZP:0001375	GO:0005891	ZFA:0009367	PATO:0001672
ZP:0001376	GO:0048788	ZFA:0009367	PATO:0001997
ZP:0001379	ZFA:0009052	ZFA:0000008	PATO:0000470
ZP:0001381	ZFA:0009052	ZFA:0000075	PATO:0000470
ZP:0001403	GO:0005604	ZFA:0000107	PATO:0000051
ZP:0001404	GO:0005604	ZFA:0000107	PATO:0000937
ZP:0001424	ZFA:0009036	ZFA:0005046	PATO:0000937
ZP:0001429	GO:0005874	ZFA:0000084	PATO:0000592
ZP:0001444	GO:0005929	ZFA:0000150	PATO:0000613
ZP:0001466	BSPO:0000084	ZFA:0001094	PATO:0001450
ZP:0001472	ZFA:0009052	ZFA:0000075	PATO:0001624
ZP:0001490	GO:0030016	ZFA:0000155	PATO:0000141
ZP:0001491	GO:0030016	ZFA:0000155	PATO:0000647
ZP:0001492	GO:0030016	ZFA:0000155	PATO:0000937
ZP:0001493	GO:0030016	ZFA:0000155	PATO:0001407
ZP:0001500	GO:0042383	ZFA:0001056	PATO:0000937
ZP:0001501	ZFA:0005277	ZFA:0001056	PATO:0000639
ZP:0001502	ZFA:0009114	ZFA:0001056	PATO:0000639
ZP:0001503	ZFA:0009114	ZFA:0001056	PATO:0001444
ZP:0001504	ZFA:0009115	ZFA:0001056	PATO:0001997
ZP:0001505	ZFA:0009115	ZFA:0001056	PATO:0002037
ZP:0001516	ZFA:0009327	ZFA:0005277	PATO:0000467
ZP:0001517	ZFA:0009327	ZFA:0005277	PATO:0001629
ZP:0001522	GO:0005634	ZFA:0009115	PATO:0000628
ZP:0001523	GO:0005739	ZFA:0009115	PATO:0000330
ZP:0001524	GO:0005739	ZFA:0009115	PATO:0001444
ZP:0001525	GO:0030016	ZFA:0009115	PATO:0001580
ZP:0001536	ZFA:0009316	ZFA:0000009	PATO:0000470
ZP:0001537	ZFA:0009316	ZFA:0000009	PATO:0001997
ZP:0001540	GO:0005833	ZFA:0009256	PATO:0001997
ZP:0001545	GO:0030016	ZFA:0009316	PATO:0000937
ZP:0001557	ZFA:0009138	ZFA:0001065	PATO:0000304
ZP:0001558	ZFA:0009138	ZFA:0001065	PATO:0000629
ZP:0001561	ZFA:0009000	ZFA:0001135	PATO:0000628
ZP:0001569	GO:0030424	ZFA:0000295	PATO:0000140
ZP:0001574	GO:0030424	ZFA:0009125	PATO:0000629
ZP:0001577	ZFA:0009248	ZFA:0000823	PATO:0001997
ZP:0001578	ZFA:0009248	ZFA:0000948	PATO:0000470
ZP:0001583	GO:0005921	ZFA:0009315	PATO:0000470
ZP:0001584	GO:0005921	ZFA:0009315	PATO:0000587
ZP:0001585	GO:0005922	ZFA:0009315	PATO:0001509
ZP:0001592	BSPO:0000005	ZFA:0000086	PATO:0000700
ZP:0001593	ZFA:0009000	ZFA:0000086	PATO:0002334
ZP:0001612	ZFA:0009052	ZFA:0000664	PATO:0001997
ZP:0001613	ZFA:0009052	ZFA:0000697	PATO:0000462
ZP:0001622	ZFA:0009367	ZFA:0000940	PATO:0001997
ZP:0001635	GO:0005604	ZFA:0000135	PATO:0000592
ZP:0001636	GO:0005604	ZFA:0000135	PATO:0000937
ZP:0001638	GO:0005783	ZFA:0000135	PATO:0001851
ZP:0001639	GO:0005794	ZFA:0000135	PATO:0000141
ZP:0001640	ZFA:0009000	ZFA:0000135	PATO:0000141
ZP:0001643	GO:0042470	ZFA:0001115	PATO:0000462
ZP:0001644	GO:0042470	ZFA:0009091	PATO:0000462
ZP:0001645	GO:0005783	ZFA:0009114	PATO:0001851
ZP:0001646	GO:0005794	ZFA:0009114	PATO:0000141
ZP:0001662	GO:0030424	ZFA:0000320	PATO:0000574
ZP:0001663	GO:0030424	ZFA:0009052	PATO:0002285
ZP:0001674	ZFA:0009150	ZFA:0000075	PATO:0000638
ZP:0001677	GO:0005635	ZFA:0000473	PATO:0000052
ZP:0001678	GO:0005635	ZFA:0000473	PATO:0000941
ZP:0001679	GO:0005892	ZFA:0000473	PATO:0000140
ZP:0001680	GO:0016528	ZFA:0000473	PATO:0000941
