defined_class	affected_entity_1_sub	affected_entity_1_super	pato_id
http://purl.obolibrary.org/obo/ZP_0125178	GO:0009952	ZFA:0000133	PATO:0001236
http://purl.obolibrary.org/obo/ZP_0125179	GO:0048514	ZFA:0005024	PATO:0001236
http://purl.obolibrary.org/obo/ZP_0125180	GO:0008283	ZFA:0000141	PATO:0002052
http://purl.obolibrary.org/obo/ZP_0125181	GO:0008219	ZFA:0000141	PATO:0002051
http://purl.obolibrary.org/obo/ZP_0125182	GO:0001755	ZFA:0001612	PATO:0001236
http://purl.obolibrary.org/obo/ZP_0125183	GO:0008283	ZFA:0005759	PATO:0001236
http://purl.obolibrary.org/obo/ZP_0125184	GO:0001755	ZFA:0001194	PATO:0001236
http://purl.obolibrary.org/obo/ZP_0125185	GO:0003351	ZFA:0000151	PATO:0000297
http://purl.obolibrary.org/obo/ZP_0125186	GO:0035889	ZFA:0000051	PATO:0000502
http://purl.obolibrary.org/obo/ZP_0125187	GO:0032475	ZFA:0000051	PATO:0000502
http://purl.obolibrary.org/obo/ZP_0125188	GO:0035889	ZFA:0000676	PATO:0000297
http://purl.obolibrary.org/obo/ZP_0125189	GO:0070509	ZFA:0009367	PATO:0015003
http://purl.obolibrary.org/obo/ZP_0125190	GO:0048468	ZFA:0009112	PATO:0002052
http://purl.obolibrary.org/obo/ZP_0125191	GO:0048469	ZFA:0009094	PATO:0001507
http://purl.obolibrary.org/obo/ZP_0125192	GO:0055017	ZFA:0000009	PATO:0001494
http://purl.obolibrary.org/obo/ZP_0125193	GO:0008015	ZFA:0005314	PATO:0001236
http://purl.obolibrary.org/obo/ZP_0125194	GO:0055017	ZFA:0000009	PATO:0000912
http://purl.obolibrary.org/obo/ZP_0125195	GO:0055017	ZFA:0000009	PATO:0000911
http://purl.obolibrary.org/obo/ZP_0125196	GO:0007416	ZFA:0009052	PATO:0002051
http://purl.obolibrary.org/obo/ZP_0125197	GO:0016556	ZFA:0000008	PATO:0002051
http://purl.obolibrary.org/obo/ZP_0125198	GO:0007416	ZFA:0009060	PATO:0002051
http://purl.obolibrary.org/obo/ZP_0125199	GO:0003208	ZFA:0000009	PATO:0002302
http://purl.obolibrary.org/obo/ZP_0125200	GO:0003208	ZFA:0000009	PATO:0001236
http://purl.obolibrary.org/obo/ZP_0125201	GO:0003383	ZFA:0009316	PATO:0002052
http://purl.obolibrary.org/obo/ZP_0125202	GO:0060048	ZFA:0000009	PATO:0000381
http://purl.obolibrary.org/obo/ZP_0125203	GO:0060048	ZFA:0000009	PATO:0002016
http://purl.obolibrary.org/obo/ZP_0125204	GO:0060976	ZFA:0005147	PATO:0002052
http://purl.obolibrary.org/obo/ZP_0125205	GO:0060038	ZFA:0005147	PATO:0002052
http://purl.obolibrary.org/obo/ZP_0125206	GO:0008283	ZFA:0009316	PATO:0002052
http://purl.obolibrary.org/obo/ZP_0125207	GO:0008283	ZFA:0009354	PATO:0000057
http://purl.obolibrary.org/obo/ZP_0125208	GO:0007274	ZFA:0009117	PATO:0002302
http://purl.obolibrary.org/obo/ZP_0125209	GO:0001944	ZFA:0000008	PATO:0001236
http://purl.obolibrary.org/obo/ZP_0125210	GO:0006915	ZFA:0000008	PATO:0002052
http://purl.obolibrary.org/obo/ZP_0125211	GO:0043652	ZFA:0000008	PATO:0015003
http://purl.obolibrary.org/obo/ZP_0125212	GO:0043654	ZFA:0000008	PATO:0000498
http://purl.obolibrary.org/obo/ZP_0125213	GO:0043277	ZFA:0000008	PATO:0015003
http://purl.obolibrary.org/obo/ZP_0125214	GO:0007528	ZFA:0001056	PATO:0001236
http://purl.obolibrary.org/obo/ZP_0125215	GO:0048846	ZFA:0005877	PATO:0000057
http://purl.obolibrary.org/obo/ZP_0125216	GO:0001945	ZFA:0005605	PATO:0000057
http://purl.obolibrary.org/obo/ZP_0125217	GO:0021953	ZFA:0000206	PATO:0001236
http://purl.obolibrary.org/obo/ZP_0125218	GO:0030010	ZFA:0001338	PATO:0001507
http://purl.obolibrary.org/obo/ZP_0125219	GO:0007528	ZFA:0009117	PATO:0001236
http://purl.obolibrary.org/obo/ZP_0125220	GO:0008283	ZFA:0001270	PATO:0002052
http://purl.obolibrary.org/obo/ZP_0125221	GO:0008589	ZFA:0000141	PATO:0001236
