defined_class	affected_entity_1_super	pato_id	affected_entity_2_super
ZP:0101714	ZFA:0005272	PATO:0002001	ZFA:0009016
ZP:0101774	ZFA:0001094	PATO:0002000	ZFA:0005110
ZP:0101836	ZFA:0000075	PATO:0001905	ZFA:0009052
ZP:0101866	ZFA:0001205	PATO:0001654	ZFA:0001399
ZP:0101873	ZFA:0001466	PATO:0001905	ZFA:0009140
ZP:0101972	ZFA:0005781	PATO:0002002	ZFA:0009327
ZP:0102000	ZFA:0000095	PATO:0001999	ZFA:0001516
ZP:0102040	ZFA:0005028	PATO:0001905	ZFA:0009354
ZP:0102041	ZFA:0000669	PATO:0002001	ZFA:0009014
ZP:0102099	ZFA:0009044	PATO:0002269	ZFA:0000114
ZP:0102140	ZFA:0000007	PATO:0002269	ZFA:0000088
ZP:0102215	ZFA:0000142	PATO:0002001	ZFA:0009135
ZP:0102216	ZFA:0009052	PATO:0002001	ZFA:0009135
ZP:0102228	ZFA:0001066	PATO:0002328	ZFA:0001189
ZP:0102255	ZFA:0001189	PATO:0000375	ZFA:0001189
ZP:0102292	ZFA:0001078	PATO:0002000	ZFA:0009355
ZP:0102293	ZFA:0001286	PATO:0002001	ZFA:0009014
ZP:0102328	ZFA:0000056	PATO:0002002	ZFA:0009046
ZP:0102329	ZFA:0000354	PATO:0002002	ZFA:0009046
ZP:0102330	ZFA:0000368	PATO:0002002	ZFA:0009046
ZP:0102331	ZFA:0000554	PATO:0002002	ZFA:0009046
ZP:0102332	ZFA:0001338	PATO:0002002	ZFA:0009046
ZP:0102368	ZFA:0001550	PATO:0001999	ZFA:0005634
ZP:0102404	ZFA:0001115	PATO:0002001	ZFA:0009141
ZP:0102407	ZFA:0001285	PATO:0001453	ZFA:0005025
ZP:0102425	ZFA:0009116	PATO:0001435	ZFA:0009116
ZP:0102442	ZFA:0000407	PATO:0002000	ZFA:0000184
ZP:0102443	ZFA:0000407	PATO:0002000	ZFA:0001455
ZP:0102447	ZFA:0009044	PATO:0002270	ZFA:0001261
ZP:0102469	ZFA:0009034	PATO:0001646	ZFA:0001269
ZP:0102575	ZFA:0001260	PATO:0002001	ZFA:0009104
ZP:0102765	ZFA:0001319	PATO:0000642	ZFA:0001319
ZP:0102791	ZFA:0000094	PATO:0002000	ZFA:0009015
ZP:0102792	ZFA:0000114	PATO:0002000	ZFA:0009256
ZP:0102793	ZFA:0000186	PATO:0002000	ZFA:0009256
ZP:0102794	ZFA:0000445	PATO:0001999	ZFA:0009077
ZP:0102829	ZFA:0009243	PATO:0000040	ZFA:0009243
ZP:0102841	ZFA:0009256	PATO:0002270	ZFA:0000054
ZP:0102975	ZFA:0001613	PATO:0002001	ZFA:0005771
ZP:0103001	ZFA:0009115	PATO:0001653	ZFA:0000155
ZP:0103041	ZFA:0000303	PATO:0001470	ZFA:0000242
ZP:0103043	ZFA:0000303	PATO:0002001	ZFA:0001569
ZP:0103044	ZFA:0000403	PATO:0002001	ZFA:0001264
ZP:0103045	ZFA:0000598	PATO:0001999	ZFA:0009006
ZP:0103046	ZFA:0000598	PATO:0002002	ZFA:0009005
ZP:0103047	ZFA:0000598	PATO:0002002	ZFA:0009007
ZP:0103077	ZFA:0000242	PATO:0001470	ZFA:0000303
ZP:0103114	ZFA:0001463	PATO:0000374	ZFA:0001463
ZP:0103220	ZFA:0001094	PATO:0002001	ZFA:0000023
ZP:0103225	ZFA:0009114	PATO:0001453	ZFA:0001089
ZP:0103249	ZFA:0005060	PATO:0001999	ZFA:0009316
ZP:0103250	ZFA:0005061	PATO:0001905	ZFA:0009316
ZP:0103251	ZFA:0005062	PATO:0001905	ZFA:0009316
ZP:0103252	ZFA:0005060	PATO:0001905	ZFA:0009316
ZP:0103274	ZFA:0001260	PATO:0002001	ZFA:0009096
ZP:0103278	ZFA:0000123	PATO:0002000	ZFA:0005169
ZP:0103319	ZFA:0000008	PATO:0002001	ZFA:0009062
ZP:0103368	ZFA:0000151	PATO:0002000	ZFA:0005312
ZP:0103372	ZFA:0001205	PATO:0000642	ZFA:0001272
ZP:0103412	ZFA:0000112	PATO:0002001	ZFA:0009000
ZP:0103456	ZFA:0009000	PATO:0001453	ZFA:0009000
ZP:0103524	ZFA:0009327	PATO:0002271	ZFA:0001269
ZP:0103542	ZFA:0001359	PATO:0002000	ZFA:0001360
ZP:0103543	ZFA:0001359	PATO:0002000	ZFA:0009284
ZP:0103677	GO:0001964	PATO:0001551	GO:0007605
ZP:0103782	ZFA:0009077	PATO:0001668	ZFA:0009052
ZP:0103808	ZFA:0001176	PATO:0001453	ZFA:0000084
ZP:0103833	ZFA:0000007	PATO:0002270	ZFA:0001058
ZP:0103840	ZFA:0000007	PATO:0002269	ZFA:0005314
ZP:0103874	ZFA:0001077	PATO:0002001	ZFA:0009250
ZP:0103906	ZFA:0000640	PATO:0002435	ZFA:0005574
ZP:0103992	ZFA:0009288	PATO:0002470	ZFA:0009386
ZP:0104061	ZFA:0000598	PATO:0002000	ZFA:0005769
ZP:0104074	ZFA:0001094	PATO:0002001	ZFA:0001161
ZP:0104101	ZFA:0000016	PATO:0001505	ZFA:0000155
ZP:0104116	ZFA:0000135	PATO:0000375	ZFA:0000060
ZP:0104140	ZFA:0000188	PATO:0002001	ZFA:0001713
ZP:0104158	ZFA:0000188	PATO:0002001	ZFA:0001691
ZP:0104159	ZFA:0000212	PATO:0002001	ZFA:0001691
ZP:0104162	ZFA:0000388	PATO:0002001	ZFA:0001691
ZP:0104167	ZFA:0000694	PATO:0001453	ZFA:0001227
ZP:0104216	ZFA:0001400	PATO:0000375	ZFA:0001205
ZP:0104217	ZFA:0005037	PATO:0000642	ZFA:0005037
ZP:0104238	ZFA:0000007	PATO:0002270	ZFA:0001286
ZP:0104253	ZFA:0000555	PATO:0002001	ZFA:0009199
ZP:0104274	ZFA:0001057	PATO:0000642	ZFA:0000014
ZP:0104275	ZFA:0001057	PATO:0000642	ZFA:0001063
ZP:0104322	ZFA:0005000	PATO:0000642	ZFA:0005017
ZP:0104327	ZFA:0005002	PATO:0000642	ZFA:0001052
ZP:0104370	ZFA:0009044	PATO:0002269	ZFA:0000084
ZP:0104391	ZFA:0001557	PATO:0001905	ZFA:0001673
ZP:0104392	ZFA:0001557	PATO:0002001	ZFA:0001673
ZP:0104411	ZFA:0000151	PATO:0001999	ZFA:0001673
ZP:0104422	ZFA:0001114	PATO:0001999	ZFA:0000107
ZP:0104434	ZFA:0001094	PATO:0002002	ZFA:0005621
ZP:0104437	ZFA:0001656	PATO:0002002	ZFA:0005621
ZP:0104438	ZFA:0001656	PATO:0002002	ZFA:0005622
ZP:0104466	ZFA:0005177	PATO:0002001	ZFA:0009276
ZP:0104473	ZFA:0001094	PATO:0002001	ZFA:0009199
ZP:0104515	ZFA:0001306	PATO:0002001	ZFA:0009258
ZP:0104535	ZFA:0000075	PATO:0001905	ZFA:0009051
ZP:0104545	ZFA:0005177	PATO:0001905	ZFA:0009276
ZP:0104553	ZFA:0000692	PATO:0002278	ZFA:0000672
ZP:0104554	ZFA:0001422	PATO:0002002	ZFA:0001596
ZP:0104696	ZFA:0000445	PATO:0001905	ZFA:0009276
ZP:0104739	ZFA:0000075	PATO:0002000	ZFA:0005177
ZP:0104856	ZFA:0001314	PATO:0000642	ZFA:0001156
ZP:0104871	ZFA:0009031	PATO:0002270	ZFA:0000538
