defined_class	affected_entity_1_sub	affected_entity_1_super	pato_id	affected_entity_2_sub	affected_entity_2_super
ZP:0148001	ZFA:0001681	ZFA:0000008	PATO:0040042	ZFA:0001682	ZFA:0000008
ZP:0148016	GO:0001750	ZFA:0009154	PATO:0001453	GO:0044297	ZFA:0009154
ZP:0148029	GO:0005902	ZFA:0001466	PATO:0001453	GO:0001750	ZFA:0001466
ZP:0148525	GO:0030017	ZFA:0001056	PATO:0001654	GO:0030017	ZFA:0001056
ZP:0148558	BSPO:0000000	ZFA:0001400	PATO:0045041	BSPO:0000007	ZFA:0001400
ZP:0148589	BSPO:0000000	ZFA:0000107	PATO:0000375	BSPO:0000007	ZFA:0000107
ZP:0148590	BSPO:0000000	ZFA:0000107	PATO:0045014	BSPO:0000007	ZFA:0000107
ZP:0148693	BSPO:0000127	ZFA:0001056	PATO:0002002	GO:0032991	ZFA:0001056
ZP:0148696	BSPO:0000075	ZFA:0001056	PATO:0002002	GO:0032991	ZFA:0001056
ZP:0148966	BSPO:0000075	ZFA:0000035	PATO:0002002	GO:0005634	ZFA:0009401
ZP:0148967	BSPO:0000075	ZFA:0000035	PATO:0002002	GO:0005856	ZFA:0009401
ZP:0149188	GO:0030424	ZFA:0009150	PATO:0001193	GO:0044297	ZFA:0009150
